Z,KX,KY,KZ
7.401700,1.000000,1.000000,1.000000
7.760300,1.000000,1.000000,1.000000
7.248100,1.000000,1.000000,1.000000
6.925300,1.000000,1.000000,1.000000
7.356100,1.000000,1.000000,1.000000
6.672400,1.000000,1.000000,1.000000
6.914200,1.000000,1.000000,1.000000
6.724400,1.000000,1.000000,1.000000
6.624600,1.000000,1.000000,1.000000
6.546900,1.000000,1.000000,1.000000
4.720150,1.000000,1.000000,1.000000
5.207850,1.000000,1.000000,1.000000
2.290200,1.000000,1.000000,1.000000
2.421500,1.000000,1.000000,1.000000
0.527947,1.000000,1.000000,1.000000
-0.105355,1.000000,1.000000,1.000000
-0.315150,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.500200,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
7.196900,1.000000,1.000000,1.000000
7.289300,1.000000,1.000000,1.000000
7.074100,1.000000,1.000000,1.000000
6.733500,1.000000,1.000000,1.000000
5.920900,1.000000,1.000000,1.000000
4.065050,1.000000,1.000000,1.000000
2.740550,1.000000,1.000000,1.000000
1.282295,1.000000,1.000000,1.000000
-0.479440,1000.000000,1000.000000,100.000000
-0.500150,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
7.499800,1.000000,1.000000,1.000000
7.206300,1.000000,1.000000,1.000000
6.977400,1.000000,1.000000,1.000000
6.682200,1.000000,1.000000,1.000000
5.528550,1.000000,1.000000,1.000000
4.269100,1.000000,1.000000,1.000000
2.714000,1.000000,1.000000,1.000000
1.357985,1.000000,1.000000,1.000000
-0.454143,1000.000000,1000.000000,100.000000
-0.501900,1000.000000,1000.000000,100.000000
-0.577250,1000.000000,1000.000000,100.000000
7.566300,1.000000,1.000000,1.000000
8.078200,1.000000,1.000000,1.000000
8.430400,1.000000,1.000000,1.000000
8.553000,1.000000,1.000000,1.000000
7.408300,1.000000,1.000000,1.000000
4.556900,1.000000,1.000000,1.000000
1.634945,1.000000,1.000000,1.000000
0.036540,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.502050,1000.000000,1000.000000,100.000000
-0.502600,1000.000000,1000.000000,100.000000
6.778800,1.000000,1.000000,1.000000
7.246500,1.000000,1.000000,1.000000
8.582000,1.000000,1.000000,1.000000
8.819200,1.000000,1.000000,1.000000
5.774000,1.000000,1.000000,1.000000
3.330600,1.000000,1.000000,1.000000
1.052410,1.000000,1.000000,1.000000
-0.289750,1.000000,1.000000,1.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.503100,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
7.280100,1.000000,1.000000,1.000000
7.919400,1.000000,1.000000,1.000000
8.607500,1.000000,1.000000,1.000000
9.101500,1.000000,1.000000,1.000000
7.547400,1.000000,1.000000,1.000000
4.140800,1.000000,1.000000,1.000000
2.205900,1.000000,1.000000,1.000000
-0.181840,1.000000,1.000000,1.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.502850,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
7.661200,1.000000,1.000000,1.000000
7.928800,1.000000,1.000000,1.000000
9.527200,1.000000,1.000000,1.000000
10.323150,1.000000,1.000000,1.000000
10.288000,1.000000,1.000000,1.000000
8.593100,1.000000,1.000000,1.000000
3.403200,1.000000,1.000000,1.000000
-0.408040,1.000000,1.000000,1.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.502750,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
7.259800,1.000000,1.000000,1.000000
8.265100,1.000000,1.000000,1.000000
9.257400,1.000000,1.000000,1.000000
9.311100,1.000000,1.000000,1.000000
7.478300,1.000000,1.000000,1.000000
5.437700,1.000000,1.000000,1.000000
2.642200,1.000000,1.000000,1.000000
-0.276540,1.000000,1.000000,1.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.502000,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
7.630500,1.000000,1.000000,1.000000
8.193700,1.000000,1.000000,1.000000
8.616100,1.000000,1.000000,1.000000
7.058900,1.000000,1.000000,1.000000
6.233400,1.000000,1.000000,1.000000
3.837700,1.000000,1.000000,1.000000
1.138810,1.000000,1.000000,1.000000
-0.192520,1.000000,1.000000,1.000000
-0.322720,1000.000000,1000.000000,100.000000
-0.501250,1000.000000,1000.000000,100.000000
-0.500500,1000.000000,1000.000000,100.000000
7.342100,1.000000,1.000000,1.000000
8.162900,1.000000,1.000000,1.000000
8.869500,1.000000,1.000000,1.000000
9.276900,1.000000,1.000000,1.000000
6.465600,1.000000,1.000000,1.000000
3.327200,1.000000,1.000000,1.000000
1.105380,1.000000,1.000000,1.000000
-0.316810,1.000000,1.000000,1.000000
-0.433332,1000.000000,1000.000000,100.000000
-0.500900,1000.000000,1000.000000,100.000000
-0.550450,1000.000000,1000.000000,100.000000
7.026000,1.000000,1.000000,1.000000
7.371500,1.000000,1.000000,1.000000
7.948400,1.000000,1.000000,1.000000
6.590200,1.000000,1.000000,1.000000
4.935800,1.000000,1.000000,1.000000
2.567600,1.000000,1.000000,1.000000
0.589597,1.000000,1.000000,1.000000
-0.291860,1.000000,1.000000,1.000000
-0.448941,1000.000000,1000.000000,100.000000
-0.501100,1000.000000,1000.000000,100.000000
-0.500300,1000.000000,1000.000000,100.000000
6.978100,1.000000,1.000000,1.000000
7.163700,1.000000,1.000000,1.000000
7.775200,1.000000,1.000000,1.000000
8.033900,1.000000,1.000000,1.000000
6.050700,1.000000,1.000000,1.000000
2.499900,1.000000,1.000000,1.000000
1.027095,1.000000,1.000000,1.000000
-0.350550,1.000000,1.000000,1.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.501750,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
7.632000,1.000000,1.000000,1.000000
7.538500,1.000000,1.000000,1.000000
7.749200,1.000000,1.000000,1.000000
7.316800,1.000000,1.000000,1.000000
6.291300,1.000000,1.000000,1.000000
3.566100,1.000000,1.000000,1.000000
0.127250,1.000000,1.000000,1.000000
-0.477217,1.000000,1.000000,1.000000
-0.500000,1000.000000,1000.000000,100.000000
-0.500950,1000.000000,1000.000000,100.000000
-0.500000,1000.000000,1000.000000,100.000000
