Z,INHD
-109.956503,8.000000
-109.931501,8.000000
-110.893499,8.000000
-111.406998,7.000000
-111.066496,8.000000
-112.007999,7.000000
-113.024002,7.000000
-113.790001,7.000000
-115.337502,7.000000
-117.074003,7.000000
-120.182503,5.000000
-119.930998,6.000000
-124.182999,3.000000
-124.580000,3.000000
-126.579000,1.000000
-128.297499,1.000000
-128.057497,0.000000
-129.813499,0.000000
-128.500998,0.000000
-130.339003,0.000000
-128.869499,0.000000
-130.600500,0.000000
-112.124498,8.000000
-112.059500,8.000000
-113.785503,8.000000
-115.159500,7.000000
-117.997000,6.000000
-120.891003,5.000000
-123.525999,4.000000
-127.296501,2.000000
-130.898499,0.000000
-132.180004,0.000000
-132.331501,0.000000
-113.633003,8.000000
-113.056501,8.000000
-113.977997,7.000000
-115.973003,7.000000
-118.792500,6.000000
-120.972002,5.000000
-124.878504,4.000000
-129.380999,2.000000
-132.380505,0.000000
-133.613499,0.000000
-133.367500,0.000000
-114.853498,8.000000
-113.382496,9.000000
-113.318001,9.000000
-114.947502,9.000000
-117.936501,9.000000
-123.495003,6.000000
-128.318996,2.000000
-131.620499,1.000000
-134.876499,0.000000
-135.343498,0.000000
-135.632000,0.000000
-115.285500,7.000000
-114.470501,8.000000
-114.160004,9.000000
-116.232498,9.000000
-121.345499,6.000000
-126.194502,4.000000
-131.361496,2.000000
-135.060997,0.000000
-136.996998,0.000000
-137.162498,0.000000
-137.529999,0.000000
-115.538496,8.000000
-116.238497,8.000000
-117.858999,9.000000
-119.997498,10.000000
-125.695997,8.000000
-132.054497,5.000000
-135.947998,3.000000
-138.089497,0.000000
-138.900497,0.000000
-138.819500,0.000000
-139.048500,0.000000
-117.204504,8.000000
-117.110996,8.000000
-120.991499,10.000000
-125.047997,11.000000
-130.637001,11.000000
-134.031998,9.000000
-137.660000,4.000000
-138.935505,0.000000
-139.288998,0.000000
-139.326500,0.000000
-139.338501,0.000000
-117.493004,8.000000
-119.136002,9.000000
-123.923998,10.000000
-128.918003,10.000000
-133.202503,8.000000
-137.352997,6.000000
-139.045998,3.000000
-139.413002,0.000000
-139.424000,0.000000
-139.412998,0.000000
-139.424000,0.000000
-117.740000,8.000000
-121.139002,9.000000
-125.696497,9.000000
-131.543003,8.000000
-135.435001,7.000000
-137.722000,4.000000
-139.034500,2.000000
-139.429501,0.000000
-139.507500,0.000000
-139.493000,0.000000
-139.509499,0.000000
-118.848003,8.000000
-120.900002,9.000000
-127.128998,9.000000
-130.586000,10.000000
-134.874500,7.000000
-137.280499,4.000000
-138.350498,2.000000
-139.344501,0.000000
-139.565498,0.000000
-139.573002,0.000000
-139.570999,0.000000
-120.484497,8.000000
-120.998501,8.000000
-124.884003,8.000000
-129.784500,7.000000
-133.343498,5.000000
-136.021000,3.000000
-137.970501,1.000000
-139.042000,0.000000
-139.511501,0.000000
-139.662498,0.000000
-139.674000,0.000000
-121.287502,7.000000
-121.709997,8.000000
-123.115999,8.000000
-126.483000,9.000000
-130.820499,7.000000
-135.401001,3.000000
-137.687000,2.000000
-139.372002,0.000000
-139.764999,0.000000
-139.747501,0.000000
-139.763500,0.000000
-121.591999,8.000000
-121.403999,8.000000
-122.844999,8.000000
-125.059999,8.000000
-128.790501,7.000000
-133.901501,4.000000
-138.231998,1.000000
-139.484001,0.000000
-139.851002,0.000000
-139.840000,0.000000
-139.851002,0.000000
