Z,INHD
-34.643002,8.000000
-35.033001,8.000000
-36.617001,8.000000
-37.723999,7.000000
-37.092999,8.000000
-38.956001,7.000000
-40.417999,7.000000
-41.970001,7.000000
-44.095001,7.000000
-47.408001,7.000000
-51.205002,5.000000
-52.021999,6.000000
-55.386002,3.000000
-57.490002,3.000000
-56.408001,1.000000
-59.865002,1.000000
-57.244999,0.000000
-60.707001,0.000000
-56.661999,0.000000
-60.217999,0.000000
-57.238998,0.000000
-60.701000,0.000000
-39.159000,8.000000
-39.119000,8.000000
-42.081001,8.000000
-44.459000,7.000000
-49.104000,6.000000
-53.622002,5.000000
-56.551998,4.000000
-60.403000,2.000000
-63.016998,0.000000
-63.870001,0.000000
-64.163000,0.000000
-41.806000,8.000000
-41.092999,8.000000
-42.666000,7.000000
-45.566002,7.000000
-49.415001,6.000000
-52.813999,5.000000
-58.157001,4.000000
-63.422001,2.000000
-66.771004,0.000000
-66.917000,0.000000
-66.235001,0.000000
-43.426998,8.000000
-41.224998,9.000000
-40.666000,9.000000
-42.764999,9.000000
-47.292999,9.000000
-55.750000,6.000000
-63.208000,2.000000
-67.490997,1.000000
-70.833000,0.000000
-70.266998,0.000000
-70.764000,0.000000
-43.320999,7.000000
-42.331001,8.000000
-41.580002,9.000000
-44.595001,9.000000
-52.881000,6.000000
-60.398998,4.000000
-67.962997,2.000000
-72.311997,0.000000
-74.543999,0.000000
-73.875000,0.000000
-74.559998,0.000000
-42.786999,8.000000
-44.297001,8.000000
-47.158001,9.000000
-50.764999,10.000000
-60.661999,8.000000
-70.988998,5.000000
-75.856003,3.000000
-77.228996,0.000000
-77.570999,0.000000
-77.139000,0.000000
-77.597000,0.000000
-44.699001,8.000000
-44.321999,8.000000
-51.393002,10.000000
-58.806000,11.000000
-68.973999,11.000000
-74.554001,9.000000
-78.150002,4.000000
-78.161003,0.000000
-78.178001,0.000000
-78.153000,0.000000
-78.177002,0.000000
-43.636002,8.000000
-46.391998,9.000000
-54.868000,10.000000
-62.486000,10.000000
-68.915001,8.000000
-75.416000,6.000000
-77.861999,3.000000
-78.335999,0.000000
-78.348000,0.000000
-78.325996,0.000000
-78.348000,0.000000
-42.369999,8.000000
-47.228001,9.000000
-53.772999,9.000000
-63.236000,8.000000
-70.370003,7.000000
-74.944000,4.000000
-77.569000,2.000000
-78.359001,0.000000
-78.514999,0.000000
-78.486000,0.000000
-78.518997,0.000000
-43.206001,8.000000
-44.169998,9.000000
-53.917999,9.000000
-60.672001,10.000000
-69.249000,7.000000
-74.060997,4.000000
-76.200996,2.000000
-78.189003,0.000000
-78.630997,0.000000
-78.646004,0.000000
-78.641998,0.000000
-43.039001,8.000000
-42.387001,8.000000
-49.307999,8.000000
-59.069000,7.000000
-66.186997,5.000000
-71.542000,3.000000
-75.441002,1.000000
-77.584000,0.000000
-78.523003,0.000000
-78.824997,0.000000
-78.848000,0.000000
-42.275002,7.000000
-42.939999,8.000000
-45.731998,8.000000
-52.466000,9.000000
-61.140999,7.000000
-70.302002,3.000000
-74.874000,2.000000
-78.244003,0.000000
-79.029999,0.000000
-78.995003,0.000000
-79.027000,0.000000
-42.683998,8.000000
-42.307999,8.000000
-45.189999,8.000000
-49.619999,8.000000
-57.081001,7.000000
-67.303001,4.000000
-75.963997,1.000000
-78.468002,0.000000
-79.202004,0.000000
-79.180000,0.000000
-79.202004,0.000000
