Z,INHD
7.401700,8.000000
7.760300,8.000000
7.248100,8.000000
6.925300,7.000000
7.356100,8.000000
6.672400,7.000000
6.914200,7.000000
6.724400,7.000000
6.624600,7.000000
6.546900,7.000000
4.720150,5.000000
5.207850,6.000000
2.290200,3.000000
2.421500,3.000000
0.527947,1.000000
-0.105355,1.000000
-0.315150,0.000000
-0.500000,0.000000
-0.500000,0.000000
-0.500200,0.000000
-0.500000,0.000000
-0.500000,0.000000
7.196900,8.000000
7.289300,8.000000
7.074100,8.000000
6.733500,7.000000
5.920900,6.000000
4.065050,5.000000
2.740550,4.000000
1.282295,2.000000
-0.479440,0.000000
-0.500150,0.000000
-0.500000,0.000000
7.499800,8.000000
7.206300,8.000000
6.977400,7.000000
6.682200,7.000000
5.528550,6.000000
4.269100,5.000000
2.714000,4.000000
1.357985,2.000000
-0.454143,0.000000
-0.501900,0.000000
-0.577250,0.000000
7.566300,8.000000
8.078200,9.000000
8.430400,9.000000
8.553000,9.000000
7.408300,9.000000
4.556900,6.000000
1.634945,2.000000
0.036540,1.000000
-0.500000,0.000000
-0.502050,0.000000
-0.502600,0.000000
6.778800,7.000000
7.246500,8.000000
8.582000,9.000000
8.819200,9.000000
5.774000,6.000000
3.330600,4.000000
1.052410,2.000000
-0.289750,0.000000
-0.500000,0.000000
-0.503100,0.000000
-0.500000,0.000000
7.280100,8.000000
7.919400,8.000000
8.607500,9.000000
9.101500,10.000000
7.547400,8.000000
4.140800,5.000000
2.205900,3.000000
-0.181840,0.000000
-0.500000,0.000000
-0.502850,0.000000
-0.500000,0.000000
7.661200,8.000000
7.928800,8.000000
9.527200,10.000000
10.323150,11.000000
10.288000,11.000000
8.593100,9.000000
3.403200,4.000000
-0.408040,0.000000
-0.500000,0.000000
-0.502750,0.000000
-0.500000,0.000000
7.259800,8.000000
8.265100,9.000000
9.257400,10.000000
9.311100,10.000000
7.478300,8.000000
5.437700,6.000000
2.642200,3.000000
-0.276540,0.000000
-0.500000,0.000000
-0.502000,0.000000
-0.500000,0.000000
7.630500,8.000000
8.193700,9.000000
8.616100,9.000000
7.058900,8.000000
6.233400,7.000000
3.837700,4.000000
1.138810,2.000000
-0.192520,0.000000
-0.322720,0.000000
-0.501250,0.000000
-0.500500,0.000000
7.342100,8.000000
8.162900,9.000000
8.869500,9.000000
9.276900,10.000000
6.465600,7.000000
3.327200,4.000000
1.105380,2.000000
-0.316810,0.000000
-0.433332,0.000000
-0.500900,0.000000
-0.550450,0.000000
7.026000,8.000000
7.371500,8.000000
7.948400,8.000000
6.590200,7.000000
4.935800,5.000000
2.567600,3.000000
0.589597,1.000000
-0.291860,0.000000
-0.448941,0.000000
-0.501100,0.000000
-0.500300,0.000000
6.978100,7.000000
7.163700,8.000000
7.775200,8.000000
8.033900,9.000000
6.050700,7.000000
2.499900,3.000000
1.027095,2.000000
-0.350550,0.000000
-0.500000,0.000000
-0.501750,0.000000
-0.500000,0.000000
7.632000,8.000000
7.538500,8.000000
7.749200,8.000000
7.316800,8.000000
6.291300,7.000000
3.566100,4.000000
0.127250,1.000000
-0.477217,0.000000
-0.500000,0.000000
-0.500950,0.000000
-0.500000,0.000000
