Z,KX,KY,KZ
-109.956503,0.300000,0.300000,0.003000
-109.931501,0.300000,0.300000,0.003000
-110.893499,0.300000,0.300000,0.003000
-111.406998,0.300000,0.300000,0.003000
-111.066496,0.300000,0.300000,0.003000
-112.007999,0.300000,0.300000,0.003000
-113.024002,0.300000,0.300000,0.003000
-113.790001,0.300000,0.300000,0.003000
-115.337502,0.300000,0.300000,0.003000
-117.074003,0.300000,0.300000,0.003000
-120.182503,0.300000,0.300000,0.003000
-119.930998,0.300000,0.300000,0.003000
-124.182999,0.300000,0.300000,0.003000
-124.580000,0.300000,0.300000,0.003000
-126.579000,0.300000,0.300000,0.003000
-128.297499,0.300000,0.300000,0.003000
-128.057497,0.300000,0.300000,0.003000
-129.813499,0.300000,0.300000,0.003000
-128.500998,0.300000,0.300000,0.003000
-130.339003,0.300000,0.300000,0.003000
-128.869499,0.300000,0.300000,0.003000
-130.600500,0.300000,0.300000,0.003000
-112.124498,0.300000,0.300000,0.003000
-112.059500,0.300000,0.300000,0.003000
-113.785503,0.300000,0.300000,0.003000
-115.159500,0.300000,0.300000,0.003000
-117.997000,0.300000,0.300000,0.003000
-120.891003,0.300000,0.300000,0.003000
-123.525999,0.300000,0.300000,0.003000
-127.296501,0.300000,0.300000,0.003000
-130.898499,0.300000,0.300000,0.003000
-132.180004,0.300000,0.300000,0.003000
-132.331501,0.300000,0.300000,0.003000
-113.633003,0.300000,0.300000,0.003000
-113.056501,0.300000,0.300000,0.003000
-113.977997,0.300000,0.300000,0.003000
-115.973003,0.300000,0.300000,0.003000
-118.792500,0.300000,0.300000,0.003000
-120.972002,0.300000,0.300000,0.003000
-124.878504,0.300000,0.300000,0.003000
-129.380999,0.300000,0.300000,0.003000
-132.380505,0.300000,0.300000,0.003000
-133.613499,0.300000,0.300000,0.003000
-133.367500,0.300000,0.300000,0.003000
-114.853498,0.300000,0.300000,0.003000
-113.382496,0.300000,0.300000,0.003000
-113.318001,0.300000,0.300000,0.003000
-114.947502,0.300000,0.300000,0.003000
-117.936501,0.300000,0.300000,0.003000
-123.495003,0.300000,0.300000,0.003000
-128.318996,0.300000,0.300000,0.003000
-131.620499,0.300000,0.300000,0.003000
-134.876499,0.300000,0.300000,0.003000
-135.343498,0.300000,0.300000,0.003000
-135.632000,0.300000,0.300000,0.003000
-115.285500,0.300000,0.300000,0.003000
-114.470501,0.300000,0.300000,0.003000
-114.160004,0.300000,0.300000,0.003000
-116.232498,0.300000,0.300000,0.003000
-121.345499,0.300000,0.300000,0.003000
-126.194502,0.300000,0.300000,0.003000
-131.361496,0.300000,0.300000,0.003000
-135.060997,0.300000,0.300000,0.003000
-136.996998,0.300000,0.300000,0.003000
-137.162498,0.300000,0.300000,0.003000
-137.529999,0.300000,0.300000,0.003000
-115.538496,0.300000,0.300000,0.003000
-116.238497,0.300000,0.300000,0.003000
-117.858999,0.300000,0.300000,0.003000
-119.997498,0.300000,0.300000,0.003000
-125.695997,0.300000,0.300000,0.003000
-132.054497,0.300000,0.300000,0.003000
-135.947998,0.300000,0.300000,0.003000
-138.089497,0.300000,0.300000,0.003000
-138.900497,0.300000,0.300000,0.003000
-138.819500,0.300000,0.300000,0.003000
-139.048500,0.300000,0.300000,0.003000
-117.204504,0.300000,0.300000,0.003000
-117.110996,0.300000,0.300000,0.003000
-120.991499,0.300000,0.300000,0.003000
-125.047997,0.300000,0.300000,0.003000
-130.637001,0.300000,0.300000,0.003000
-134.031998,0.300000,0.300000,0.003000
-137.660000,0.300000,0.300000,0.003000
-138.935505,0.300000,0.300000,0.003000
-139.288998,0.300000,0.300000,0.003000
-139.326500,0.300000,0.300000,0.003000
-139.338501,0.300000,0.300000,0.003000
-117.493004,0.300000,0.300000,0.003000
-119.136002,0.300000,0.300000,0.003000
-123.923998,0.300000,0.300000,0.003000
-128.918003,0.300000,0.300000,0.003000
-133.202503,0.300000,0.300000,0.003000
-137.352997,0.300000,0.300000,0.003000
-139.045998,0.300000,0.300000,0.003000
-139.413002,0.300000,0.300000,0.003000
-139.424000,0.300000,0.300000,0.003000
-139.412998,0.300000,0.300000,0.003000
-139.424000,0.300000,0.300000,0.003000
-117.740000,0.300000,0.300000,0.003000
-121.139002,0.300000,0.300000,0.003000
-125.696497,0.300000,0.300000,0.003000
-131.543003,0.300000,0.300000,0.003000
-135.435001,0.300000,0.300000,0.003000
-137.722000,0.300000,0.300000,0.003000
-139.034500,0.300000,0.300000,0.003000
-139.429501,0.300000,0.300000,0.003000
-139.507500,0.300000,0.300000,0.003000
-139.493000,0.300000,0.300000,0.003000
-139.509499,0.300000,0.300000,0.003000
-118.848003,0.300000,0.300000,0.003000
-120.900002,0.300000,0.300000,0.003000
-127.128998,0.300000,0.300000,0.003000
-130.586000,0.300000,0.300000,0.003000
-134.874500,0.300000,0.300000,0.003000
-137.280499,0.300000,0.300000,0.003000
-138.350498,0.300000,0.300000,0.003000
-139.344501,0.300000,0.300000,0.003000
-139.565498,0.300000,0.300000,0.003000
-139.573002,0.300000,0.300000,0.003000
-139.570999,0.300000,0.300000,0.003000
-120.484497,0.300000,0.300000,0.003000
-120.998501,0.300000,0.300000,0.003000
-124.884003,0.300000,0.300000,0.003000
-129.784500,0.300000,0.300000,0.003000
-133.343498,0.300000,0.300000,0.003000
-136.021000,0.300000,0.300000,0.003000
-137.970501,0.300000,0.300000,0.003000
-139.042000,0.300000,0.300000,0.003000
-139.511501,0.300000,0.300000,0.003000
-139.662498,0.300000,0.300000,0.003000
-139.674000,0.300000,0.300000,0.003000
-121.287502,0.300000,0.300000,0.003000
-121.709997,0.300000,0.300000,0.003000
-123.115999,0.300000,0.300000,0.003000
-126.483000,0.300000,0.300000,0.003000
-130.820499,0.300000,0.300000,0.003000
-135.401001,0.300000,0.300000,0.003000
-137.687000,0.300000,0.300000,0.003000
-139.372002,0.300000,0.300000,0.003000
-139.764999,0.300000,0.300000,0.003000
-139.747501,0.300000,0.300000,0.003000
-139.763500,0.300000,0.300000,0.003000
-121.591999,0.300000,0.300000,0.003000
-121.403999,0.300000,0.300000,0.003000
-122.844999,0.300000,0.300000,0.003000
-125.059999,0.300000,0.300000,0.003000
-128.790501,0.300000,0.300000,0.003000
-133.901501,0.300000,0.300000,0.003000
-138.231998,0.300000,0.300000,0.003000
-139.484001,0.300000,0.300000,0.003000
-139.851002,0.300000,0.300000,0.003000
-139.840000,0.300000,0.300000,0.003000
-139.851002,0.300000,0.300000,0.003000
