Z,KX,KY,KZ
-29.676500,15.000000,15.000000,1.500000
-30.017001,15.000000,15.000000,1.500000
-31.123501,0.100000,0.100000,0.010000
-32.337501,0.100000,0.100000,0.010000
-32.221999,0.100000,0.100000,0.010000
-33.600000,0.100000,0.100000,0.010000
-35.839500,0.100000,0.100000,0.010000
-36.879999,0.100000,0.100000,0.010000
-39.800001,0.100000,0.100000,0.010000
-42.901501,0.100000,0.100000,0.010000
-47.482000,0.100000,0.100000,0.010000
-47.962000,0.100000,0.100000,0.010000
-51.948000,0.100000,0.100000,0.010000
-53.973000,0.100000,0.100000,0.010000
-53.019501,0.100000,0.100000,0.010000
-56.645001,0.100000,0.100000,0.010000
-53.901998,0.100000,0.100000,0.010000
-57.588001,0.100000,0.100000,0.010000
-53.281500,0.100000,0.100000,0.010000
-57.066999,0.100000,0.100000,0.010000
-53.895498,0.100000,0.100000,0.010000
-57.581501,0.100000,0.100000,0.010000
-33.096000,0.100000,0.100000,0.010000
-33.130001,0.100000,0.100000,0.010000
-36.417000,0.100000,0.100000,0.010000
-38.961500,0.100000,0.100000,0.010000
-44.091499,0.100000,0.100000,0.010000
-49.146000,0.100000,0.100000,0.010000
-52.490999,0.100000,0.100000,0.010000
-56.932001,0.100000,0.100000,0.010000
-59.999500,0.100000,0.100000,0.010000
-60.955500,0.100000,0.100000,0.010000
-61.267500,0.100000,0.100000,0.010000
-35.378000,0.100000,0.100000,0.010000
-34.557500,0.100000,0.100000,0.010000
-36.306000,0.100000,0.100000,0.010000
-39.562500,0.100000,0.100000,0.010000
-43.972000,0.100000,0.100000,0.010000
-47.862000,0.100000,0.100000,0.010000
-54.018501,0.100000,0.100000,0.010000
-60.104999,0.100000,0.100000,0.010000
-63.980999,0.100000,0.100000,0.010000
-64.200001,0.100000,0.100000,0.010000
-63.473501,0.100000,0.100000,0.010000
-37.048000,0.100000,0.100000,0.010000
-34.417000,0.100000,0.100000,0.010000
-33.657001,0.100000,0.100000,0.010000
-35.978000,0.100000,0.100000,0.010000
-41.179501,0.100000,0.100000,0.010000
-50.951500,0.100000,0.100000,0.010000
-59.546000,0.100000,0.100000,0.010000
-64.477999,0.100000,0.100000,0.010000
-68.353500,0.100000,0.100000,0.010000
-67.766499,0.100000,0.100000,0.010000
-68.296001,0.100000,0.100000,0.010000
-37.172501,0.100000,0.100000,0.010000
-35.851501,0.100000,0.100000,0.010000
-34.749499,0.100000,0.100000,0.010000
-37.919500,0.100000,0.100000,0.010000
-47.327499,0.100000,0.100000,0.010000
-55.999500,0.100000,0.100000,0.010000
-64.731501,0.100000,0.100000,0.010000
-69.793499,0.100000,0.100000,0.010000
-72.319500,0.100000,0.100000,0.010000
-71.608501,0.100000,0.100000,0.010000
-72.337498,0.100000,0.100000,0.010000
-36.818499,0.100000,0.100000,0.010000
-38.308001,0.100000,0.100000,0.010000
-41.288000,0.100000,0.100000,0.010000
-45.126001,0.100000,0.100000,0.010000
-56.161499,0.100000,0.100000,0.010000
-67.933498,0.100000,0.100000,0.010000
-73.546501,0.100000,0.100000,0.010000
-75.172001,0.100000,0.100000,0.010000
-75.542000,0.100000,0.100000,0.010000
-75.082001,0.100000,0.100000,0.010000
-75.569000,0.100000,0.100000,0.010000
-39.125000,0.100000,0.100000,0.010000
-38.613501,0.100000,0.100000,0.010000
-46.295000,0.100000,0.100000,0.010000
-54.466499,0.100000,0.100000,0.010000
-65.797497,0.100000,0.100000,0.010000
-72.054001,0.100000,0.100000,0.010000
-76.094502,0.100000,0.100000,0.010000
-76.155998,0.100000,0.100000,0.010000
-76.178001,0.100000,0.100000,0.010000
-76.153000,0.100000,0.100000,0.010000
-76.177002,0.100000,0.100000,0.010000
-38.250000,0.100000,0.100000,0.010000
-41.161001,0.100000,0.100000,0.010000
-50.437000,0.100000,0.100000,0.010000
-58.806501,0.100000,0.100000,0.010000
-65.904499,0.100000,0.100000,0.010000
-73.073502,0.100000,0.100000,0.010000
-75.771000,0.100000,0.100000,0.010000
-76.324997,0.100000,0.100000,0.010000
-76.348000,0.100000,0.100000,0.010000
-76.325996,0.100000,0.100000,0.010000
-76.348000,0.100000,0.100000,0.010000
-37.084999,0.100000,0.100000,0.010000
-42.348499,0.100000,0.100000,0.010000
-49.469500,0.100000,0.100000,0.010000
-59.822001,0.100000,0.100000,0.010000
-67.654999,0.100000,0.100000,0.010000
-72.635502,0.100000,0.100000,0.010000
-75.465500,0.100000,0.100000,0.010000
-76.330002,0.100000,0.100000,0.010000
-76.509003,0.100000,0.100000,0.010000
-76.486000,0.100000,0.100000,0.010000
-76.518997,0.100000,0.100000,0.010000
-37.869000,0.100000,0.100000,0.010000
-39.142500,0.100000,0.100000,0.010000
-49.866999,0.100000,0.100000,0.010000
-57.240000,0.100000,0.100000,0.010000
-66.553001,0.100000,0.100000,0.010000
-71.723000,0.100000,0.100000,0.010000
-74.014999,0.100000,0.100000,0.010000
-76.148998,0.100000,0.100000,0.010000
-76.623501,0.100000,0.100000,0.010000
-76.646004,0.100000,0.100000,0.010000
-76.641998,0.100000,0.100000,0.010000
-37.281500,0.100000,0.100000,0.010000
-37.166500,0.100000,0.100000,0.010000
-45.051498,0.100000,0.100000,0.010000
-55.666000,0.100000,0.100000,0.010000
-63.347500,0.100000,0.100000,0.010000
-69.062000,0.100000,0.100000,0.010000
-73.221500,0.100000,0.100000,0.010000
-75.503498,0.100000,0.100000,0.010000
-76.501999,0.100000,0.100000,0.010000
-76.824997,0.100000,0.100000,0.010000
-76.848000,0.100000,0.100000,0.010000
-36.486000,0.100000,0.100000,0.010000
-37.722000,0.100000,0.100000,0.010000
-41.210001,0.100000,0.100000,0.010000
-48.694000,15.000000,15.000000,1.500000
-58.000000,15.000000,15.000000,1.500000
-67.757999,0.100000,0.100000,0.010000
-72.616501,0.100000,0.100000,0.010000
-76.197002,0.100000,0.100000,0.010000
-77.029999,0.100000,0.100000,0.010000
-76.995003,0.100000,0.100000,0.010000
-77.027000,0.100000,0.100000,0.010000
-36.817501,0.100000,0.100000,0.010000
-36.799999,0.100000,0.100000,0.010000
-40.702499,15.000000,15.000000,1.500000
-45.725500,15.000000,15.000000,1.500000
-53.704500,15.000000,15.000000,1.500000
-64.563500,0.100000,0.100000,0.010000
-73.763500,0.100000,0.100000,0.010000
-76.424499,0.100000,0.100000,0.010000
-77.202004,0.100000,0.100000,0.010000
-77.180000,0.100000,0.100000,0.010000
-77.202004,0.100000,0.100000,0.010000
