Z,KX,KY,KZ
-33.563501,0.300000,0.300000,0.003000
-33.963001,0.300000,0.300000,0.003000
-35.495001,0.300000,0.300000,0.003000
-36.614500,0.300000,0.300000,0.003000
-36.033999,0.300000,0.300000,0.003000
-37.852001,0.300000,0.300000,0.003000
-39.375999,0.300000,0.300000,0.003000
-40.879000,0.300000,0.300000,0.003000
-43.064501,0.300000,0.300000,0.003000
-46.345001,0.300000,0.300000,0.003000
-50.195501,0.300000,0.300000,0.003000
-50.978500,0.300000,0.300000,0.003000
-54.384501,0.300000,0.300000,0.003000
-56.470001,0.300000,0.300000,0.003000
-55.408001,0.300000,0.300000,0.003000
-58.859501,0.300000,0.300000,0.003000
-56.244999,0.300000,0.300000,0.003000
-59.707001,0.300000,0.300000,0.003000
-55.661999,0.300000,0.300000,0.003000
-59.217999,0.300000,0.300000,0.003000
-56.238998,0.300000,0.300000,0.003000
-59.701000,0.300000,0.300000,0.003000
-37.993000,0.300000,0.300000,0.003000
-37.957501,0.300000,0.300000,0.003000
-40.938501,0.300000,0.300000,0.003000
-43.323999,0.300000,0.300000,0.003000
-47.990499,0.300000,0.300000,0.003000
-52.529501,0.300000,0.300000,0.003000
-55.477999,0.300000,0.300000,0.003000
-59.363501,0.300000,0.300000,0.003000
-62.011000,0.300000,0.300000,0.003000
-62.869999,0.300000,0.300000,0.003000
-63.162998,0.300000,0.300000,0.003000
-40.587000,0.300000,0.300000,0.003000
-39.880499,0.300000,0.300000,0.003000
-41.465000,0.300000,0.300000,0.003000
-44.371500,0.300000,0.300000,0.003000
-48.239000,0.300000,0.300000,0.003000
-51.657999,0.300000,0.300000,0.003000
-57.053501,0.300000,0.300000,0.003000
-62.375500,0.300000,0.300000,0.003000
-65.763001,0.300000,0.300000,0.003000
-65.917000,0.300000,0.300000,0.003000
-65.235001,0.300000,0.300000,0.003000
-42.144999,0.300000,0.300000,0.003000
-39.943499,0.300000,0.300000,0.003000
-39.373001,0.300000,0.300000,0.003000
-41.476500,0.300000,0.300000,0.003000
-46.038000,0.300000,0.300000,0.003000
-54.582001,0.300000,0.300000,0.003000
-62.120501,0.300000,0.300000,0.003000
-66.449497,0.300000,0.300000,0.003000
-69.831001,0.300000,0.300000,0.003000
-69.266998,0.300000,0.300000,0.003000
-69.764000,0.300000,0.300000,0.003000
-41.964500,0.300000,0.300000,0.003000
-40.991501,0.300000,0.300000,0.003000
-40.239000,0.300000,0.300000,0.003000
-43.274000,0.300000,0.300000,0.003000
-51.639999,0.300000,0.300000,0.003000
-59.240000,0.300000,0.300000,0.003000
-66.890499,0.300000,0.300000,0.003000
-71.293499,0.300000,0.300000,0.003000
-73.543999,0.300000,0.300000,0.003000
-72.875000,0.300000,0.300000,0.003000
-73.559998,0.300000,0.300000,0.003000
-41.356499,0.300000,0.300000,0.003000
-42.908001,0.300000,0.300000,0.003000
-45.809500,0.300000,0.300000,0.003000
-49.451000,0.300000,0.300000,0.003000
-59.453999,0.300000,0.300000,0.003000
-69.897999,0.300000,0.300000,0.003000
-74.825001,0.300000,0.300000,0.003000
-76.225998,0.300000,0.300000,0.003000
-76.570999,0.300000,0.300000,0.003000
-76.139000,0.300000,0.300000,0.003000
-76.597000,0.300000,0.300000,0.003000
-43.230001,0.300000,0.300000,0.003000
-42.859499,0.300000,0.300000,0.003000
-50.019001,0.300000,0.300000,0.003000
-57.511999,0.300000,0.300000,0.003000
-67.795998,0.300000,0.300000,0.003000
-73.449501,0.300000,0.300000,0.003000
-77.123001,0.300000,0.300000,0.003000
-77.158501,0.300000,0.300000,0.003000
-77.178001,0.300000,0.300000,0.003000
-77.153000,0.300000,0.300000,0.003000
-77.177002,0.300000,0.300000,0.003000
-42.074001,0.300000,0.300000,0.003000
-44.879499,0.300000,0.300000,0.003000
-53.464500,0.300000,0.300000,0.003000
-61.172501,0.300000,0.300000,0.003000
-67.693500,0.300000,0.300000,0.003000
-74.302502,0.300000,0.300000,0.003000
-76.819500,0.300000,0.300000,0.003000
-77.330498,0.300000,0.300000,0.003000
-77.348000,0.300000,0.300000,0.003000
-77.325996,0.300000,0.300000,0.003000
-77.348000,0.300000,0.300000,0.003000
-40.719999,0.300000,0.300000,0.003000
-45.653000,0.300000,0.300000,0.003000
-52.289999,0.300000,0.300000,0.003000
-61.896500,0.300000,0.300000,0.003000
-69.131000,0.300000,0.300000,0.003000
-73.811500,0.300000,0.300000,0.003000
-76.522999,0.300000,0.300000,0.003000
-77.345501,0.300000,0.300000,0.003000
-77.512001,0.300000,0.300000,0.003000
-77.486000,0.300000,0.300000,0.003000
-77.518997,0.300000,0.300000,0.003000
-41.488001,0.300000,0.300000,0.003000
-42.480499,0.300000,0.300000,0.003000
-52.376999,0.300000,0.300000,0.003000
-59.234001,0.300000,0.300000,0.003000
-67.979000,0.300000,0.300000,0.003000
-72.919998,0.300000,0.300000,0.003000
-75.122997,0.300000,0.300000,0.003000
-77.172001,0.300000,0.300000,0.003000
-77.627499,0.300000,0.300000,0.003000
-77.646004,0.300000,0.300000,0.003000
-77.641998,0.300000,0.300000,0.003000
-41.255001,0.300000,0.300000,0.003000
-40.606501,0.300000,0.300000,0.003000
-47.630999,0.300000,0.300000,0.003000
-57.572500,0.300000,0.300000,0.003000
-64.843998,0.300000,0.300000,0.003000
-70.346500,0.300000,0.300000,0.003000
-74.352001,0.300000,0.300000,0.003000
-76.551498,0.300000,0.300000,0.003000
-77.514500,0.300000,0.300000,0.003000
-77.824997,0.300000,0.300000,0.003000
-77.848000,0.300000,0.300000,0.003000
-40.422001,0.300000,0.300000,0.003000
-41.101500,0.300000,0.300000,0.003000
-43.938499,0.300000,0.300000,0.003000
-50.805000,0.300000,0.300000,0.003000
-59.686499,0.300000,0.300000,0.003000
-69.083000,0.300000,0.300000,0.003000
-73.770500,0.300000,0.300000,0.003000
-77.225002,0.300000,0.300000,0.003000
-78.029999,0.300000,0.300000,0.003000
-77.995003,0.300000,0.300000,0.003000
-78.027000,0.300000,0.300000,0.003000
-40.789000,0.300000,0.300000,0.003000
-40.398499,0.300000,0.300000,0.003000
-43.346499,0.300000,0.300000,0.003000
-47.881500,0.300000,0.300000,0.003000
-55.527500,0.300000,0.300000,0.003000
-66.005501,0.300000,0.300000,0.003000
-74.883499,0.300000,0.300000,0.003000
-77.450501,0.300000,0.300000,0.003000
-78.202004,0.300000,0.300000,0.003000
-78.180000,0.300000,0.300000,0.003000
-78.202004,0.300000,0.300000,0.003000
