Z,INHD
-185.270004,8.000000
-184.830002,8.000000
-185.169998,8.000000
-185.089996,7.000000
-185.039993,8.000000
-185.059998,7.000000
-185.630005,7.000000
-185.610001,7.000000
-186.580002,7.000000
-186.740005,7.000000
-189.160004,5.000000
-187.839996,6.000000
-193.110001,3.000000
-191.775002,3.000000
-199.245003,1.000000
-198.790001,1.000000
-201.750000,0.000000
-201.915001,0.000000
-208.284996,0.000000
-208.075005,0.000000
-209.519997,0.000000
-209.665001,0.000000
-185.089996,8.000000
-185.000000,8.000000
-185.490005,8.000000
-185.860001,7.000000
-186.889999,6.000000
-188.160004,5.000000
-190.500000,4.000000
-194.434998,2.000000
-203.574997,0.000000
-208.155006,0.000000
-210.535004,0.000000
-185.460007,8.000000
-185.020004,8.000000
-185.289993,7.000000
-186.380005,7.000000
-188.169998,6.000000
-189.130005,5.000000
-191.600006,4.000000
-195.924995,2.000000
-200.355003,0.000000
-208.724998,0.000000
-216.769997,0.000000
-186.279999,8.000000
-185.539993,9.000000
-185.970001,9.000000
-187.130005,9.000000
-188.580002,9.000000
-191.275002,6.000000
-193.504997,2.000000
-196.470001,1.000000
-201.674995,0.000000
-208.629997,0.000000
-210.404999,0.000000
-187.250000,7.000000
-186.610001,8.000000
-186.740005,9.000000
-187.869995,9.000000
-189.809998,6.000000
-192.055000,4.000000
-195.169998,2.000000
-200.849998,0.000000
-202.889999,0.000000
-212.125000,0.000000
-214.565002,0.000000
-188.289993,8.000000
-188.179993,8.000000
-188.559998,9.000000
-189.229996,10.000000
-190.729996,8.000000
-193.119995,5.000000
-197.039993,3.000000
-205.055000,0.000000
-209.244995,0.000000
-218.245003,0.000000
-222.084999,0.000000
-189.710007,8.000000
-189.899994,8.000000
-190.589996,10.000000
-191.289993,11.000000
-192.300003,11.000000
-193.509995,9.000000
-198.449997,4.000000
-207.420006,0.000000
-211.485001,0.000000
-221.294998,0.000000
-224.445000,0.000000
-191.350006,8.000000
-191.880005,9.000000
-192.979996,10.000000
-195.385002,10.000000
-197.880005,8.000000
-200.464996,6.000000
-202.754997,3.000000
-209.225006,0.000000
-217.320000,0.000000
-228.000000,0.000000
-233.345001,0.000000
-193.110001,8.000000
-195.200005,9.000000
-198.769997,9.000000
-203.235001,8.000000
-207.025002,7.000000
-208.904999,4.000000
-211.309998,2.000000
-215.595001,0.000000
-221.080002,0.000000
-235.744995,0.000000
-244.345001,0.000000
-194.490005,8.000000
-198.764999,9.000000
-206.379997,9.000000
-210.495003,10.000000
-214.125000,7.000000
-217.675003,4.000000
-220.470001,2.000000
-225.529999,0.000000
-231.554993,0.000000
-244.375000,0.000000
-257.925003,0.000000
-198.729996,8.000000
-203.250000,8.000000
-210.695000,8.000000
-217.250000,7.000000
-220.955002,5.000000
-224.989998,3.000000
-230.550003,1.000000
-235.770004,0.000000
-242.335007,0.000000
-254.714996,0.000000
-260.190002,0.000000
-205.825005,7.000000
-210.650002,8.000000
-215.300003,8.000000
-220.470001,9.000000
-226.260002,7.000000
-233.654999,3.000000
-240.464996,2.000000
-250.285004,0.000000
-254.815002,0.000000
-266.889999,0.000000
-271.199997,0.000000
-214.345001,8.000000
-217.370003,8.000000
-222.910004,8.000000
-227.230003,8.000000
-232.485001,7.000000
-241.244995,4.000000
-252.244995,1.000000
-261.565002,0.000000
-266.399994,0.000000
-276.384995,0.000000
-281.304993,0.000000
