Z,KX,KY,KZ
-185.270004,0.300000,0.300000,0.003000
-184.830002,0.300000,0.300000,0.003000
-185.169998,0.300000,0.300000,0.003000
-185.089996,0.300000,0.300000,0.003000
-185.039993,0.300000,0.300000,0.003000
-185.059998,0.300000,0.300000,0.003000
-185.630005,0.300000,0.300000,0.003000
-185.610001,0.300000,0.300000,0.003000
-186.580002,0.300000,0.300000,0.003000
-186.740005,0.300000,0.300000,0.003000
-189.160004,0.300000,0.300000,0.003000
-187.839996,0.300000,0.300000,0.003000
-193.110001,0.300000,0.300000,0.003000
-191.775002,0.300000,0.300000,0.003000
-199.245003,0.300000,0.300000,0.003000
-198.790001,0.300000,0.300000,0.003000
-201.750000,0.300000,0.300000,0.003000
-201.915001,0.300000,0.300000,0.003000
-208.284996,0.300000,0.300000,0.003000
-208.075005,0.300000,0.300000,0.003000
-209.519997,0.300000,0.300000,0.003000
-209.665001,0.300000,0.300000,0.003000
-185.089996,0.300000,0.300000,0.003000
-185.000000,0.300000,0.300000,0.003000
-185.490005,0.300000,0.300000,0.003000
-185.860001,0.300000,0.300000,0.003000
-186.889999,0.300000,0.300000,0.003000
-188.160004,0.300000,0.300000,0.003000
-190.500000,0.300000,0.300000,0.003000
-194.434998,0.300000,0.300000,0.003000
-203.574997,0.300000,0.300000,0.003000
-208.155006,0.300000,0.300000,0.003000
-210.535004,0.300000,0.300000,0.003000
-185.460007,0.300000,0.300000,0.003000
-185.020004,0.300000,0.300000,0.003000
-185.289993,0.300000,0.300000,0.003000
-186.380005,0.300000,0.300000,0.003000
-188.169998,0.300000,0.300000,0.003000
-189.130005,0.300000,0.300000,0.003000
-191.600006,0.300000,0.300000,0.003000
-195.924995,0.300000,0.300000,0.003000
-200.355003,0.300000,0.300000,0.003000
-208.724998,0.300000,0.300000,0.003000
-216.769997,0.300000,0.300000,0.003000
-186.279999,0.300000,0.300000,0.003000
-185.539993,0.300000,0.300000,0.003000
-185.970001,0.300000,0.300000,0.003000
-187.130005,0.300000,0.300000,0.003000
-188.580002,0.300000,0.300000,0.003000
-191.275002,0.300000,0.300000,0.003000
-193.504997,0.300000,0.300000,0.003000
-196.470001,0.300000,0.300000,0.003000
-201.674995,0.300000,0.300000,0.003000
-208.629997,0.300000,0.300000,0.003000
-210.404999,0.300000,0.300000,0.003000
-187.250000,0.300000,0.300000,0.003000
-186.610001,0.300000,0.300000,0.003000
-186.740005,0.300000,0.300000,0.003000
-187.869995,0.300000,0.300000,0.003000
-189.809998,0.300000,0.300000,0.003000
-192.055000,0.300000,0.300000,0.003000
-195.169998,0.300000,0.300000,0.003000
-200.849998,0.300000,0.300000,0.003000
-202.889999,0.300000,0.300000,0.003000
-212.125000,0.300000,0.300000,0.003000
-214.565002,0.300000,0.300000,0.003000
-188.289993,0.300000,0.300000,0.003000
-188.179993,0.300000,0.300000,0.003000
-188.559998,0.300000,0.300000,0.003000
-189.229996,0.300000,0.300000,0.003000
-190.729996,0.300000,0.300000,0.003000
-193.119995,0.300000,0.300000,0.003000
-197.039993,0.300000,0.300000,0.003000
-205.055000,0.300000,0.300000,0.003000
-209.244995,0.300000,0.300000,0.003000
-218.245003,0.300000,0.300000,0.003000
-222.084999,0.300000,0.300000,0.003000
-189.710007,0.300000,0.300000,0.003000
-189.899994,0.300000,0.300000,0.003000
-190.589996,0.300000,0.300000,0.003000
-191.289993,0.300000,0.300000,0.003000
-192.300003,0.300000,0.300000,0.003000
-193.509995,0.300000,0.300000,0.003000
-198.449997,0.300000,0.300000,0.003000
-207.420006,0.300000,0.300000,0.003000
-211.485001,0.300000,0.300000,0.003000
-221.294998,0.300000,0.300000,0.003000
-224.445000,0.300000,0.300000,0.003000
