Z,INHD
-33.563501,8.000000
-33.963001,8.000000
-35.495001,8.000000
-36.614500,7.000000
-36.033999,8.000000
-37.852001,7.000000
-39.375999,7.000000
-40.879000,7.000000
-43.064501,7.000000
-46.345001,7.000000
-50.195501,5.000000
-50.978500,6.000000
-54.384501,3.000000
-56.470001,3.000000
-55.408001,1.000000
-58.859501,1.000000
-56.244999,0.000000
-59.707001,0.000000
-55.661999,0.000000
-59.217999,0.000000
-56.238998,0.000000
-59.701000,0.000000
-37.993000,8.000000
-37.957501,8.000000
-40.938501,8.000000
-43.323999,7.000000
-47.990499,6.000000
-52.529501,5.000000
-55.477999,4.000000
-59.363501,2.000000
-62.011000,0.000000
-62.869999,0.000000
-63.162998,0.000000
-40.587000,8.000000
-39.880499,8.000000
-41.465000,7.000000
-44.371500,7.000000
-48.239000,6.000000
-51.657999,5.000000
-57.053501,4.000000
-62.375500,2.000000
-65.763001,0.000000
-65.917000,0.000000
-65.235001,0.000000
-42.144999,8.000000
-39.943499,9.000000
-39.373001,9.000000
-41.476500,9.000000
-46.038000,9.000000
-54.582001,6.000000
-62.120501,2.000000
-66.449497,1.000000
-69.831001,0.000000
-69.266998,0.000000
-69.764000,0.000000
-41.964500,7.000000
-40.991501,8.000000
-40.239000,9.000000
-43.274000,9.000000
-51.639999,6.000000
-59.240000,4.000000
-66.890499,2.000000
-71.293499,0.000000
-73.543999,0.000000
-72.875000,0.000000
-73.559998,0.000000
-41.356499,8.000000
-42.908001,8.000000
-45.809500,9.000000
-49.451000,10.000000
-59.453999,8.000000
-69.897999,5.000000
-74.825001,3.000000
-76.225998,0.000000
-76.570999,0.000000
-76.139000,0.000000
-76.597000,0.000000
-43.230001,8.000000
-42.859499,8.000000
-50.019001,10.000000
-57.511999,11.000000
-67.795998,11.000000
-73.449501,9.000000
-77.123001,4.000000
-77.158501,0.000000
-77.178001,0.000000
-77.153000,0.000000
-77.177002,0.000000
-42.074001,8.000000
-44.879499,9.000000
-53.464500,10.000000
-61.172501,10.000000
-67.693500,8.000000
-74.302502,6.000000
-76.819500,3.000000
-77.330498,0.000000
-77.348000,0.000000
-77.325996,0.000000
-77.348000,0.000000
-40.719999,8.000000
-45.653000,9.000000
-52.289999,9.000000
-61.896500,8.000000
-69.131000,7.000000
-73.811500,4.000000
-76.522999,2.000000
-77.345501,0.000000
-77.512001,0.000000
-77.486000,0.000000
-77.518997,0.000000
-41.488001,8.000000
-42.480499,9.000000
-52.376999,9.000000
-59.234001,10.000000
-67.979000,7.000000
-72.919998,4.000000
-75.122997,2.000000
-77.172001,0.000000
-77.627499,0.000000
-77.646004,0.000000
-77.641998,0.000000
-41.255001,8.000000
-40.606501,8.000000
-47.630999,8.000000
-57.572500,7.000000
-64.843998,5.000000
-70.346500,3.000000
-74.352001,1.000000
-76.551498,0.000000
-77.514500,0.000000
-77.824997,0.000000
-77.848000,0.000000
-40.422001,7.000000
-41.101500,8.000000
-43.938499,8.000000
-50.805000,9.000000
-59.686499,7.000000
-69.083000,3.000000
-73.770500,2.000000
-77.225002,0.000000
-78.029999,0.000000
-77.995003,0.000000
-78.027000,0.000000
-40.789000,8.000000
-40.398499,8.000000
-43.346499,8.000000
-47.881500,8.000000
-55.527500,7.000000
-66.005501,4.000000
-74.883499,1.000000
-77.450501,0.000000
-78.202004,0.000000
-78.180000,0.000000
-78.202004,0.000000
