Row,Column,Layer,Code,Start_Time[day],Stop_Time[day],Start_Head[m],Stop_Head[m]
124,43,1,2,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,43,1,2,0.00E+00,1.00E+00,0.00E+00,0.00E+00
124,44,1,2,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,44,1,2,0.00E+00,1.00E+00,0.00E+00,0.00E+00
123,45,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
124,45,1,2,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,45,1,2,0.00E+00,1.00E+00,0.00E+00,0.00E+00
126,45,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
127,45,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
130,45,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
131,45,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
132,45,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
122,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
123,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
124,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
126,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
127,46,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
128,46,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
129,46,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
130,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
131,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
132,46,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
87,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
89,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
90,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
91,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
92,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
93,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
94,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
95,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
96,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
97,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
98,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
99,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
100,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
101,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
102,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
103,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
104,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
105,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
106,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
107,47,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
122,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
123,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
124,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
126,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
127,47,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
128,47,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
129,47,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
130,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
131,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
132,47,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
77,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
78,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
79,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
80,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
81,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
82,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
83,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
84,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
85,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
86,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
87,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
88,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
89,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
90,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
91,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
92,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
93,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
94,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
95,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
96,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
97,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
98,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
99,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
100,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
101,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
102,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
103,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
104,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
105,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
106,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
107,48,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
121,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
122,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
123,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
124,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
125,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
126,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
127,48,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
128,48,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
129,48,1,7,0.00E+00,1.00E+00,0.00E+00,0.00E+00
130,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
131,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
132,48,1,5,0.00E+00,1.00E+00,0.00E+00,0.00E+00
70,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
71,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
72,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
73,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
74,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
75,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
76,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
77,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
78,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
79,49,1,3,0.00E+00,1.00E+00,0.00E+00,0.00E+00
