Well_Name,X-world_coor[m],Y-world_coord[m],Start_Time[day],Stop_Time[day],Rate[m^3/d],Number_of_Screen,Screen_Top1[m],Screen_Bot1[m]
HRIII_7322,2.9216600E+05,9.1041940E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-5.3631229E+01,-1.9928387E+02
HRIII_7323,2.9191401E+05,9.1056970E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.8413073E+01,-1.8570570E+02
HRIII_7324,2.9194700E+05,9.1055930E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9002835E+01,-1.8506057E+02
HRIII_7329,2.9195200E+05,9.1041920E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.2490648E+01,-1.9923080E+02
HRIII_7339,2.9194600E+05,9.1055930E+06,0.0000000E+00,1.0000000E+00,-1.0000000E+01,1,7.0477450E+00,-3.1637119E+01
HRIII_7340,2.9194100E+05,9.1055000E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.3173667E+01,-1.8526899E+02
HRIII_7341,2.9193900E+05,9.1056570E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9002835E+01,-1.8506057E+02
HRIII_7343,2.9193399E+05,9.1055260E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.3173667E+01,-1.8526899E+02
HRIII_7345,2.9193100E+05,9.1056490E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9002835E+01,-1.8506057E+02
HRIII_7349,2.9194800E+05,9.1055930E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9002835E+01,-1.8506057E+02
HRIII_7357,2.9182400E+05,9.1056870E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.9784684E+01,-1.8652967E+02
HRIII_7358,2.9182100E+05,9.1055040E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.8344248E+01,-1.8641066E+02
HRIII_7362,2.9181500E+05,9.1054910E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.8793211E+01,-1.8700750E+02
HRIII_7371,2.9180000E+05,9.1044000E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9407585E+01,-1.9921592E+02
HRIII_7374,2.9179600E+05,9.1046520E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.1347051E+01,-1.9476674E+02
HRIII_7377,2.9188400E+05,9.1054820E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.3173667E+01,-1.8526899E+02
HRIII_7382,2.9187300E+05,9.1056580E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.4275470E+01,-1.8588748E+02
HRIII_7396,2.9184500E+05,9.1044060E+06,0.0000000E+00,1.0000000E+00,-1.0000000E+01,1,6.9251420E+00,-3.4034385E+01
HRIII_7405,2.9210500E+05,9.1054890E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.7333829E+01,-1.8386823E+02
HRIII_7408,2.9207800E+05,9.1054400E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.7333829E+01,-1.8386823E+02
HRIII_7427,2.9207000E+05,9.1055030E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9087217E+01,-1.8437083E+02
HRIII_7430,2.9214100E+05,9.1042500E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.7079631E+01,-1.9925269E+02
HRIII_7436,2.9213600E+05,9.1040690E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-5.7146836E+01,-1.9930059E+02
HRIII_7437,2.9213400E+05,9.1045300E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-5.6585669E+01,-1.9929785E+02
HRIII_7445,2.9212300E+05,9.1041220E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-5.7146836E+01,-1.9930059E+02
HRIII_7446,2.9212200E+05,9.1041990E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.7079631E+01,-1.9925269E+02
HRIII_7447,2.9211900E+05,9.1041180E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-5.7146836E+01,-1.9930059E+02
HRIII_7449,2.9211700E+05,9.1055280E+06,0.0000000E+00,1.0000000E+00,-1.0000000E+01,1,6.5774700E+00,-2.7203447E+01
HRIII_7450,2.9211500E+05,9.1055030E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.7333829E+01,-1.8386823E+02
HRIII_7457,2.9199900E+05,9.1056250E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9002835E+01,-1.8506057E+02
HRIII_7459,2.9199400E+05,9.1058420E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.2978134E+01,-1.8520838E+02
HRIII_7461,2.9198800E+05,9.1055870E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9002835E+01,-1.8506057E+02
HRIII_7470,2.9197200E+05,9.1056760E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.5267092E+01,-1.8504620E+02
HRIII_7478,2.9216600E+05,9.1053800E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9175410E+01,-1.8380464E+02
HRIII_7485,2.9203300E+05,9.1055100E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-3.9087217E+01,-1.8437083E+02
HRIII_7487,2.9202999E+05,9.1044760E+06,0.0000000E+00,1.0000000E+00,-4.0000000E+01,1,-4.2658105E+01,-1.9923116E+02
