Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER,FeatureID,X,Y,Elevation,Zone,Start_Time,Stop_Time[,Rate[mm/yr
-0.502,0,-1.004,1.004,15,59,1,97,292826.7597,9104630.549,0,1,0,365,0
-0.5,0,-1,1,15,60,1,98,292922.8859,9104602.985,0,1,0,365,0
7.6305,8.1305,7.1305,1,16,50,1,99,291934.0605,9104782.497,8.1305,35,0,365,260
8.1937,8.6937,7.6937,1,16,51,1,100,292030.1866,9104754.933,8.6937,7,0,365,270
8.6161,9.1161,8.1161,1,16,52,1,101,292126.3128,9104727.369,9.1161,7,0,365,270
7.0589,7.5589,6.5589,1,16,53,1,102,292222.439,9104699.805,7.5589,7,0,365,270
6.2334,6.7334,5.7334,1,16,54,1,103,292318.5651,9104672.242,6.7334,7,0,365,270
3.8377,4.3377,3.3377,1,16,55,1,104,292414.6913,9104644.678,4.3377,7,0,365,270
1.13881,1.6388,0.63882,0.99998,16,56,1,105,292510.8175,9104617.114,1.6388,7,0,365,270
-0.19252,0.30748,-0.69252,1,16,57,1,106,292606.9437,9104589.551,0.30748,14,0,365,70
-0.32272,0.17728,-0.82272,1,16,58,1,107,292703.0698,9104561.987,0.17728,1,0,365,0
-0.50125,0,-1.0025,1.0025,16,59,1,108,292799.196,9104534.423,0,1,0,365,0
-0.5005,0,-1.001,1.001,16,60,1,109,292895.3222,9104506.859,0,1,0,365,0
7.3421,7.8421,6.8421,1,17,50,1,110,291906.4967,9104686.371,7.8421,14,0,365,70
8.1629,8.6629,7.6629,1,17,51,1,111,292002.6229,9104658.807,8.6629,7,0,365,270
8.8695,9.3695,8.3695,1,17,52,1,112,292098.7491,9104631.243,9.3695,7,0,365,270
9.2769,9.7769,8.7769,1,17,53,1,113,292194.8752,9104603.679,9.7769,7,0,365,270
6.4656,6.9656,5.9656,1,17,54,1,114,292291.0014,9104576.116,6.9656,7,0,365,270
3.3272,3.8272,2.8272,1,17,55,1,115,292387.1276,9104548.552,3.8272,7,0,365,270
1.10538,1.6054,0.60536,1.00004,17,56,1,116,292483.2537,9104520.988,1.6054,7,0,365,270
-0.31681,0.18319,-0.81681,1,17,57,1,117,292579.3799,9104493.424,0.18319,19,0,365,150
-0.433332,0.066667,-0.93333,0.999997,17,58,1,118,292675.5061,9104465.861,0.066667,1,0,365,0
-0.5009,0,-1.0018,1.0018,17,59,1,119,292771.6323,9104438.297,0,1,0,365,0
-0.55045,0,-1.1009,1.1009,17,60,1,120,292867.7584,9104410.733,0,1,0,365,0
7.026,7.526,6.526,1,18,50,1,121,291878.933,9104590.244,7.526,31,0,365,230
7.3715,7.8715,6.8715,1,18,51,1,122,291975.0592,9104562.681,7.8715,7,0,365,270
7.9484,8.4484,7.4484,1,18,52,1,123,292071.1853,9104535.117,8.4484,7,0,365,270
6.5902,7.0902,6.0902,1,18,53,1,124,292167.3115,9104507.553,7.0902,7,0,365,270
4.9358,5.4358,4.4358,1,18,54,1,125,292263.4377,9104479.989,5.4358,7,0,365,270
2.5676,3.0676,2.0676,1,18,55,1,126,292359.5638,9104452.426,3.0676,7,0,365,270
0.589597,1.0896,0.089594,1.000006,18,56,1,127,292455.69,9104424.862,1.0896,7,0,365,270
-0.29186,0.20814,-0.79186,1,18,57,1,128,292551.8162,9104397.298,0.20814,8,0,365,200
-0.448941,0.051057,-0.94894,0.999997,18,58,1,129,292647.9424,9104369.734,0.051057,1,0,365,0
-0.5011,0,-1.0022,1.0022,18,59,1,130,292744.0685,9104342.171,0,1,0,365,0
-0.5003,0,-1.0006,1.0006,18,60,1,131,292840.1947,9104314.607,0,1,0,365,0
6.9781,7.4781,6.4781,1,19,50,1,132,291851.3693,9104494.118,7.4781,7,0,365,270
7.1637,7.6637,6.6637,1,19,51,1,133,291947.4954,9104466.554,7.6637,7,0,365,270
7.7752,8.2752,7.2752,1,19,52,1,134,292043.6216,9104438.991,8.2752,7,0,365,270
8.0339,8.5339,7.5339,1,19,53,1,135,292139.7478,9104411.427,8.5339,7,0,365,270
6.0507,6.5507,5.5507,1,19,54,1,136,292235.8739,9104383.863,6.5507,7,0,365,270
2.4999,2.9999,1.9999,1,19,55,1,137,292332.0001,9104356.299,2.9999,7,0,365,270
1.027095,1.5271,0.52709,1.00001,19,56,1,138,292428.1263,9104328.736,1.5271,7,0,365,270
-0.35055,0.14945,-0.85055,1,19,57,1,139,292524.2524,9104301.172,0.14945,16,0,365,190
-0.5,0,-1,1,19,58,1,140,292620.3786,9104273.608,0,1,0,365,0
-0.50175,0,-1.0035,1.0035,19,59,1,141,292716.5048,9104246.045,0,1,0,365,0
-0.5,0,-1,1,19,60,1,142,292812.631,9104218.481,0,1,0,365,0
7.632,8.132,7.132,1,20,50,1,143,291823.8055,9104397.992,8.132,7,0,365,270
7.5385,8.0385,7.0385,1,20,51,1,144,291919.9317,9104370.428,8.0385,7,0,365,270
7.7492,8.2492,7.2492,1,20,52,1,145,292016.0579,9104342.865,8.2492,7,0,365,270
7.3168,7.8168,6.8168,1,20,53,1,146,292112.184,9104315.301,7.8168,7,0,365,270
6.2913,6.7913,5.7913,1,20,54,1,147,292208.3102,9104287.737,6.7913,7,0,365,270
3.5661,4.0661,3.0661,1,20,55,1,148,292304.4364,9104260.173,4.0661,7,0,365,270
0.12725,0.62725,-0.37275,1,20,56,1,149,292400.5625,9104232.61,0.62725,7,0,365,270
-0.477217,0.022785,-0.97722,1.000005,20,57,1,150,292496.6887,9104205.046,0.022785,11,0,365,140
-0.5,0,-1,1,20,58,1,151,292592.8149,9104177.482,0,1,0,365,0
-0.50095,0,-1.0019,1.0019,20,59,1,152,292688.941,9104149.918,0,1,0,365,0
-0.5,0,-1,1,20,60,1,153,292785.0672,9104122.355,0,1,0,365,0
