Well_Name;Rate[m^3/d;Screen_Top;Screen_Bot;ROW;COLUMN;LAYER;;;;;;;;
VAZAR1239;-7.279759;2.457243;-70.79669;17;55;6;;;;;;;;
2794-P_03;-39;-73.768542;-199.3797;18;56;7;;;;;;;;
4270-P_08;-30;-73.768542;-199.3797;18;56;7;;;;;;;;
486-P_98;-30;-74.550891;-199.38351;17;56;7;;;;;;;;
HRIII_7249;-40;-74.550891;-199.38351;17;56;7;;;;;;;;
HRIII_7292;-40;-76.660189;-199.39345;17;57;7;;;;;;;;
HRIII_7293;-40;-76.660189;-199.39345;17;57;7;;;;;;;;
VAZAR1240;-7.279759;0.23491;-73.114317;17;56;6;;;;;;;;
VAZAR1241;-3.989769;-1.190941;-75.268855;17;57;6;;;;;;;;
VAZAR1308;-6.058563;6.320451;-34.3869;18;50;2;;;;;;;;
VAZAR1309;-7.279759;6.662101;-34.797904;18;51;2;;;;;;;;
HRIII_7487;-40;-42.658105;-199.23116;19;52;7;;;;;;;;
VAZAR1310;-7.279759;7.192879;-43.393495;18;52;2;;;;;;;;
HRIII_7437;-40;-56.585669;-199.29785;18;53;7;;;;;;;;
VAZAR1311;-7.279759;5.785939;-54.45158;18;53;3;;;;;;;;
637-P_99;-30;-64.009555;-199.33343;18;54;7;;;;;;;;
HRIII_7174;-40;-64.009555;-199.33343;18;54;7;;;;;;;;
HRIII_7183;-10;4.100179;-62.358089;18;54;6;;;;;;;;
VAZAR1312;-7.279759;4.100179;-62.358089;18;54;6;;;;;;;;
2795-P_03;-33;-69.657552;-199.36021;18;55;7;;;;;;;;
HRIII_7109;-40;-69.657552;-199.36021;18;55;7;;;;;;;;
HRIII_7113;-40;-68.371249;-199.35401;19;55;7;;;;;;;;
VAZAR1313;-7.279759;1.714909;-68.120553;18;55;6;;;;;;;;
2697-P_03;-30;-73.768542;-199.3797;18;56;7;;;;;;;;
VAZAR1314;-7.279759;-0.274254;-72.316213;18;56;6;;;;;;;;
VAZAR1315;-5.240898;-1.162837;-74.617294;18;57;6;;;;;;;;
VAZAR1382;-7.279759;6.276156;-33.701273;19;50;2;;;;;;;;
VAZAR1383;-7.279759;6.451982;-35.469232;19;51;2;;;;;;;;
VAZAR1384;-7.279759;7.039972;-39.539273;19;52;2;;;;;;;;
VAZAR1385;-7.279759;7.257471;-49.634399;19;53;2;;;;;;;;
354-P_98;-50;-68.371249;-199.35401;19;55;7;;;;;;;;
HRIII_7144;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7148;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7173;-40;-58.741847;-199.3082;19;54;7;;;;;;;;
VAZAR1386;-7.279759;5.236578;-58.724982;19;54;3;;;;;;;;
1833-P_00;-50;-65.2155;-199.33901;20;55;7;;;;;;;;
195-P_98;-30;-65.2155;-199.33901;20;55;7;;;;;;;;
2356-P_02;-24.5;-68.371249;-199.35401;19;55;7;;;;;;;;
3435-P_05;-13.5;-68.371249;-199.35401;19;55;7;;;;;;;;
HRIII_7094;-40;-68.371249;-199.35401;19;55;7;;;;;;;;
HRIII_7129;-40;-68.371249;-199.35401;19;55;7;;;;;;;;
VAZAR1387;-7.279759;1.654146;-66.806724;19;55;6;;;;;;;;
HRIII_7093;-40;-74.308586;-199.38232;20;56;7;;;;;;;;
HRIII_7099;-40;-74.308586;-199.38232;20;56;7;;;;;;;;
HRIII_7134;-40;-73.172724;-199.37687;19;56;7;;;;;;;;
VAZAR1388;-7.279759;0.164129;-71.703058;19;56;6;;;;;;;;
2019-P_01;-80;-76.711685;-199.39372;19;57;7;;;;;;;;
VAZAR1389;-5.092498;-1.224741;-75.31392;19;57;6;;;;;;;;
HRIII_7371;-40;-39.407585;-199.21592;20;50;7;;;;;;;;
HRIII_7396;-10;6.925142;-34.034385;20;50;2;;;;;;;;
VAZAR1456;-7.279759;6.925142;-34.034385;20;50;2;;;;;;;;
VAZAR1457;-7.279759;6.830208;-34.402276;20;51;2;;;;;;;;
VAZAR1458;-7.279759;7.01599;-41.989517;20;52;2;;;;;;;;
VAZAR1459;-7.279759;6.558665;-46.633579;20;53;2;;;;;;;;
629-P_99;-30;-65.2155;-199.33901;20;55;7;;;;;;;;
HRIII_7149;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7155;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7158;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7159;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7168;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
HRIII_7180;-40;-54.484494;-199.28791;20;54;7;;;;;;;;
VAZAR1460;-7.279759;5.497645;-54.466262;20;54;3;;;;;;;;
2618-P_03;-30;-65.2155;-199.33901;20;55;7;;;;;;;;
VAZAR1461;-7.279759;2.731178;-63.583989;20;55;6;;;;;;;;
2048-P_01;-30;-74.308586;-199.38232;20;56;7;;;;;;;;
HRIII_7126;-40;-74.308586;-199.38232;20;56;7;;;;;;;;
VAZAR1462;-7.279759;-0.737008;-72.860161;20;56;6;;;;;;;;
VAZAR1463;-3.764076;-1.351907;-75.540897;20;57;6;;;;;;;;
