FeatureID,X,Y,Elevation
0,292182.1341,9105647.632,7.9017
1,292278.2603,9105620.068,8.2603
2,292374.3864,9105592.505,7.8561
3,292470.5126,9105564.941,7.4142
4,292566.6388,9105537.377,7.1246
5,292662.7649,9105509.814,5.2422
6,292758.8911,9105482.25,2.8419
7,292855.0173,9105454.686,1.1528
8,292951.1434,9105427.122,0.27957
9,293047.2696,9105399.559,0
10,293143.3958,9105371.995,0
11,292154.5703,9105551.506,7.7481
12,292250.6965,9105523.942,7.4253
13,292346.8227,9105496.379,7.1724
14,292442.9489,9105468.815,7.2244
15,292539.075,9105441.251,7.0469
16,292635.2012,9105413.687,5.947
17,292731.3274,9105386.124,3.3033
18,292827.4535,9105358.56,0.54134
19,292923.5797,9105330.996,0
20,293019.7059,9105303.432,0
21,293115.832,9105275.869,0
22,292127.0066,9105455.38,7.6969
23,292223.1328,9105427.816,7.7893
24,292319.259,9105400.252,7.5741
25,292415.3851,9105372.689,7.2335
26,292511.5113,9105345.125,6.4209
27,292607.6375,9105317.561,4.9259
28,292703.7636,9105289.997,3.5539
29,292799.8898,9105262.434,1.858
30,292896.016,9105234.87,0.03478
31,292992.1421,9105207.306,0
32,293088.2683,9105179.743,0
33,292099.4429,9105359.254,7.9998
34,292195.569,9105331.69,7.7063
35,292291.6952,9105304.126,7.4774
36,292387.8214,9105276.562,7.1822
37,292483.9476,9105248.999,6.2306
38,292580.0737,9105221.435,5.0955
39,292676.1999,9105193.871,3.5548
40,292772.3261,9105166.308,1.9654
41,292868.4522,9105138.744,0.082805
42,292964.5784,9105111.18,0
43,293060.7046,9105083.616,0
44,292071.8791,9105263.128,8.0663
45,292168.0053,9105235.564,8.5782
46,292264.1315,9105208,8.9304
47,292360.2577,9105180.436,9.3128
48,292456.3838,9105152.873,8.5282
49,292552.51,9105125.309,5.6773
50,292648.6362,9105097.745,2.4658
51,292744.7623,9105070.181,0.53654
52,292840.8885,9105042.618,0
53,292937.0147,9105015.054,0
54,293033.1408,9104987.49,0
55,292044.3154,9105167.001,7.2788
56,292140.4416,9105139.438,7.7465
57,292236.5677,9105111.874,9.082
58,292344.121,9105063.695,9.3192
59,292428.8201,9105056.746,6.274
60,292524.9463,9105029.183,3.8306
