FeatureID,X,Y,Elevation
0,292182.1341,9105647.632,-35.143002
1,292278.2603,9105620.068,-35.533001
2,292374.3864,9105592.505,-37.117001
3,292470.5126,9105564.941,-38.223999
4,292566.6388,9105537.377,-37.592999
5,292662.7649,9105509.814,-39.456001
6,292758.8911,9105482.25,-40.917999
7,292855.0173,9105454.686,-42.470001
8,292951.1434,9105427.122,-44.595001
9,293047.2696,9105399.559,-47.908001
10,293143.3958,9105371.995,-51.705002
11,292154.5703,9105551.506,-52.521999
12,292250.6965,9105523.942,-55.886002
13,292346.8227,9105496.379,-57.990002
14,292442.9489,9105468.815,-56.908001
15,292539.075,9105441.251,-60.365002
16,292635.2012,9105413.687,-57.744999
17,292731.3274,9105386.124,-61.207001
18,292827.4535,9105358.56,-57.161999
19,292923.5797,9105330.996,-60.717999
20,293019.7059,9105303.432,-57.738998
21,293115.832,9105275.869,-61.201
22,292127.0066,9105455.38,-39.659
23,292223.1328,9105427.816,-39.619
24,292319.259,9105400.252,-42.581001
25,292415.3851,9105372.689,-44.959
26,292511.5113,9105345.125,-49.604
27,292607.6375,9105317.561,-54.122002
28,292703.7636,9105289.997,-57.051998
29,292799.8898,9105262.434,-60.903
30,292896.016,9105234.87,-63.516998
31,292992.1421,9105207.306,-64.370003
32,293088.2683,9105179.743,-64.663002
33,292099.4429,9105359.254,-42.306
34,292195.569,9105331.69,-41.592999
35,292291.6952,9105304.126,-43.166
36,292387.8214,9105276.562,-46.066002
37,292483.9476,9105248.999,-49.915001
38,292580.0737,9105221.435,-53.313999
39,292676.1999,9105193.871,-58.657001
40,292772.3261,9105166.308,-63.922001
41,292868.4522,9105138.744,-67.271004
42,292964.5784,9105111.18,-67.417
43,293060.7046,9105083.616,-66.735001
44,292071.8791,9105263.128,-43.926998
45,292168.0053,9105235.564,-41.724998
46,292264.1315,9105208,-41.166
47,292360.2577,9105180.436,-43.264999
48,292456.3838,9105152.873,-47.792999
49,292552.51,9105125.309,-56.25
50,292648.6362,9105097.745,-63.708
51,292744.7623,9105070.181,-67.990997
52,292840.8885,9105042.618,-71.333
53,292937.0147,9105015.054,-70.766998
54,293033.1408,9104987.49,-71.264
55,292044.3154,9105167.001,-43.820999
56,292140.4416,9105139.438,-42.831001
57,292236.5677,9105111.874,-42.080002
58,292344.121,9105063.695,-45.095001
59,292428.8201,9105056.746,-53.381
60,292524.9463,9105029.183,-60.898998
61,292621.0724,9105001.619,-68.462997
62,292717.1986,9104974.055,-72.811997
63,292813.3248,9104946.491,-75.043999
64,292909.4509,9104918.928,-74.375
65,293005.5771,9104891.364,-75.059998
66,292016.7517,9105070.875,-43.286999
67,292112.8778,9105043.311,-44.797001
68,292209.004,9105015.748,-47.658001
69,292305.1302,9104988.184,-51.264999
70,292401.2564,9104960.62,-61.161999
71,292497.3825,9104933.057,-71.488998
72,292593.5087,9104905.493,-76.356003
73,292689.6349,9104877.929,-77.728996
74,292785.761,9104850.365,-78.070999
