Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
-78.518997,-78.018997,-79.018997,1.000000,16,60,5
-43.206001,-42.706001,-43.706001,1.000000,17,50,5
-44.169998,-43.669998,-44.669998,1.000000,17,51,5
-53.917999,-53.417999,-54.417999,1.000000,17,52,5
-60.672001,-60.172001,-61.172001,1.000000,17,53,5
-69.249000,-68.749000,-69.749000,1.000000,17,54,5
-74.060997,-73.560997,-74.560997,1.000000,17,55,5
-76.200996,-75.700996,-76.700996,1.000000,17,56,5
-78.189003,-77.689003,-78.689003,1.000000,17,57,5
-78.630997,-78.130997,-79.130997,1.000000,17,58,5
-78.646004,-78.146004,-79.146004,1.000000,17,59,5
-78.641998,-78.141998,-79.141998,1.000000,17,60,5
-43.039001,-42.539001,-43.539001,1.000000,18,50,5
-42.387001,-41.887001,-42.887001,1.000000,18,51,5
-49.307999,-48.807999,-49.807999,1.000000,18,52,5
-59.069000,-58.569000,-59.569000,1.000000,18,53,5
-66.186997,-65.686997,-66.686997,1.000000,18,54,5
-71.542000,-71.042000,-72.042000,1.000000,18,55,5
-75.441002,-74.941002,-75.941002,1.000000,18,56,5
-77.584000,-77.084000,-78.084000,1.000000,18,57,5
-78.523003,-78.023003,-79.023003,1.000000,18,58,5
-78.824997,-78.324997,-79.324997,1.000000,18,59,5
-78.848000,-78.348000,-79.348000,1.000000,18,60,5
-42.275002,-41.775002,-42.775002,1.000000,19,50,5
-42.939999,-42.439999,-43.439999,1.000000,19,51,5
-45.731998,-45.231998,-46.231998,1.000000,19,52,5
-52.466000,-51.966000,-52.966000,1.000000,19,53,5
-61.140999,-60.640999,-61.640999,1.000000,19,54,5
-70.302002,-69.802002,-70.802002,1.000000,19,55,5
-74.874000,-74.374000,-75.374000,1.000000,19,56,5
-78.244003,-77.744003,-78.744003,1.000000,19,57,5
-79.029999,-78.529999,-79.529999,1.000000,19,58,5
-78.995003,-78.495003,-79.495003,1.000000,19,59,5
-79.027000,-78.527000,-79.527000,1.000000,19,60,5
-42.683998,-42.183998,-43.183998,1.000000,20,50,5
-42.307999,-41.807999,-42.807999,1.000000,20,51,5
-45.189999,-44.689999,-45.689999,1.000000,20,52,5
-49.619999,-49.119999,-50.119999,1.000000,20,53,5
-57.081001,-56.581001,-57.581001,1.000000,20,54,5
-67.303001,-66.803001,-67.803001,1.000000,20,55,5
-75.963997,-75.463997,-76.463997,1.000000,20,56,5
-78.468002,-77.968002,-78.968002,1.000000,20,57,5
-79.202004,-78.702004,-79.702004,1.000000,20,58,5
-79.180000,-78.680000,-79.680000,1.000000,20,59,5
-79.202004,-78.702004,-79.702004,1.000000,20,60,5
