FeatureID,PartID,X,Y,Z,SLB_WHI_ID,,,,,,FeatureID,PartID,X,Y
0,1,292147.8529,9105709.477,0,61d1df93-4bb9-45b0-9a45-d5279a9c8333,,,,0,,0,1,292147.8529,9105709.477
0,1,292243.979,9105681.913,0,61d1df93-4bb9-45b0-9a45-d5279a9c8333,,,,0,,0,1,292243.979,9105681.913
0,1,292216.4153,9105585.787,0,61d1df93-4bb9-45b0-9a45-d5279a9c8333,,,,0,,0,1,292216.4153,9105585.787
0,1,292120.2891,9105613.351,0,61d1df93-4bb9-45b0-9a45-d5279a9c8333,,,,0,,0,1,292120.2891,9105613.351
0,1,292147.8529,9105709.477,0,61d1df93-4bb9-45b0-9a45-d5279a9c8333,,,,1,,1,1,292243.979,9105681.913
1,1,292243.979,9105681.913,0,dca0d700-bc48-44e5-b98b-9294a0e3a36a,,,,0,,1,1,292340.1052,9105654.35
1,1,292340.1052,9105654.35,0,dca0d700-bc48-44e5-b98b-9294a0e3a36a,,,,0,,1,1,292312.5415,9105558.224
1,1,292312.5415,9105558.224,0,dca0d700-bc48-44e5-b98b-9294a0e3a36a,,,,0,,1,1,292216.4153,9105585.787
1,1,292216.4153,9105585.787,0,dca0d700-bc48-44e5-b98b-9294a0e3a36a,,,,0,,2,1,292120.2891,9105613.351
1,1,292243.979,9105681.913,0,dca0d700-bc48-44e5-b98b-9294a0e3a36a,,,,1,,2,1,292216.4153,9105585.787
2,1,292120.2891,9105613.351,0,d7a1d1e9-ee6e-4177-81be-bca93c09aac9,,,,0,,2,1,292188.8516,9105489.661
2,1,292216.4153,9105585.787,0,d7a1d1e9-ee6e-4177-81be-bca93c09aac9,,,,0,,2,1,292092.7254,9105517.225
2,1,292188.8516,9105489.661,0,d7a1d1e9-ee6e-4177-81be-bca93c09aac9,,,,0,,3,1,292216.4153,9105585.787
2,1,292092.7254,9105517.225,0,d7a1d1e9-ee6e-4177-81be-bca93c09aac9,,,,0,,3,1,292312.5415,9105558.224
2,1,292120.2891,9105613.351,0,d7a1d1e9-ee6e-4177-81be-bca93c09aac9,,,,1,,3,1,292284.9777,9105462.097
3,1,292216.4153,9105585.787,0,fec1023f-1578-44d4-a9f6-fd6ceb52ebd0,,,,0,,3,1,292188.8516,9105489.661
3,1,292312.5415,9105558.224,0,fec1023f-1578-44d4-a9f6-fd6ceb52ebd0,,,,0,,4,1,292340.1052,9105654.35
3,1,292284.9777,9105462.097,0,fec1023f-1578-44d4-a9f6-fd6ceb52ebd0,,,,0,,4,1,292436.2314,9105626.786
3,1,292188.8516,9105489.661,0,fec1023f-1578-44d4-a9f6-fd6ceb52ebd0,,,,0,,4,1,292408.6676,9105530.66
3,1,292216.4153,9105585.787,0,fec1023f-1578-44d4-a9f6-fd6ceb52ebd0,,,,1,,4,1,292312.5415,9105558.224
4,1,292340.1052,9105654.35,0,430edace-1aab-4350-be50-0b2bb8a02b41,,,,0,,5,1,292312.5415,9105558.224
4,1,292436.2314,9105626.786,0,430edace-1aab-4350-be50-0b2bb8a02b41,,,,0,,5,1,292408.6676,9105530.66
4,1,292408.6676,9105530.66,0,430edace-1aab-4350-be50-0b2bb8a02b41,,,,0,,5,1,292381.1039,9105434.534
4,1,292312.5415,9105558.224,0,430edace-1aab-4350-be50-0b2bb8a02b41,,,,0,,5,1,292284.9777,9105462.097
4,1,292340.1052,9105654.35,0,430edace-1aab-4350-be50-0b2bb8a02b41,,,,1,,6,1,292436.2314,9105626.786
5,1,292312.5415,9105558.224,0,596757ed-c717-4625-989f-24e9b3aa2993,,,,0,,6,1,292532.3575,9105599.222
5,1,292408.6676,9105530.66,0,596757ed-c717-4625-989f-24e9b3aa2993,,,,0,,6,1,292504.7938,9105503.096
5,1,292381.1039,9105434.534,0,596757ed-c717-4625-989f-24e9b3aa2993,,,,0,,6,1,292408.6676,9105530.66
5,1,292284.9777,9105462.097,0,596757ed-c717-4625-989f-24e9b3aa2993,,,,0,,7,1,292408.6676,9105530.66
5,1,292312.5415,9105558.224,0,596757ed-c717-4625-989f-24e9b3aa2993,,,,1,,7,1,292504.7938,9105503.096
6,1,292436.2314,9105626.786,0,ddb45ef2-65e5-456d-9868-7c4f641d02d9,,,,0,,7,1,292477.2301,9105406.97
6,1,292532.3575,9105599.222,0,ddb45ef2-65e5-456d-9868-7c4f641d02d9,,,,0,,7,1,292381.1039,9105434.534
6,1,292504.7938,9105503.096,0,ddb45ef2-65e5-456d-9868-7c4f641d02d9,,,,0,,8,1,292532.3575,9105599.222
6,1,292408.6676,9105530.66,0,ddb45ef2-65e5-456d-9868-7c4f641d02d9,,,,0,,8,1,292628.4837,9105571.658
6,1,292436.2314,9105626.786,0,ddb45ef2-65e5-456d-9868-7c4f641d02d9,,,,1,,8,1,292600.92,9105475.532
7,1,292408.6676,9105530.66,0,6f83c101-eee0-4500-b942-85cc1e4661cf,,,,0,,8,1,292504.7938,9105503.096
7,1,292504.7938,9105503.096,0,6f83c101-eee0-4500-b942-85cc1e4661cf,,,,0,,9,1,292504.7938,9105503.096
7,1,292477.2301,9105406.97,0,6f83c101-eee0-4500-b942-85cc1e4661cf,,,,0,,9,1,292600.92,9105475.532
7,1,292381.1039,9105434.534,0,6f83c101-eee0-4500-b942-85cc1e4661cf,,,,0,,9,1,292573.3562,9105379.406
7,1,292408.6676,9105530.66,0,6f83c101-eee0-4500-b942-85cc1e4661cf,,,,1,,9,1,292477.2301,9105406.97
8,1,292532.3575,9105599.222,0,fec17cb3-f004-4359-87d9-cff653d3cf24,,,,0,,10,1,292628.4837,9105571.658
8,1,292628.4837,9105571.658,0,fec17cb3-f004-4359-87d9-cff653d3cf24,,,,0,,10,1,292724.6099,9105544.095
