Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
-185.270004,-184.770004,-185.770004,1.000000,7,50,7
-184.830002,-184.330002,-185.330002,1.000000,7,51,7
-185.169998,-184.669998,-185.669998,1.000000,8,50,7
-185.089996,-184.589996,-185.589996,1.000000,8,51,7
-185.039993,-184.539993,-185.539993,1.000000,7,52,7
-185.059998,-184.559998,-185.559998,1.000000,8,52,7
-185.630005,-185.130005,-186.130005,1.000000,7,53,7
-185.610001,-185.110001,-186.110001,1.000000,8,53,7
-186.580002,-186.080002,-187.080002,1.000000,7,54,7
-186.740005,-186.240005,-187.240005,1.000000,8,54,7
-189.160004,-188.660004,-189.660004,1.000000,7,55,7
-187.839996,-187.339996,-188.339996,1.000000,8,55,7
-193.110001,-192.479996,-193.740005,1.260010,7,56,7
-191.775002,-191.169998,-192.380005,1.210007,8,56,7
-199.245003,-196.250000,-202.240005,5.990005,7,57,7
-198.790001,-196.229996,-201.350006,5.120010,8,57,7
-201.750000,-198.369995,-205.130005,6.760010,7,58,7
-201.915001,-198.419998,-205.410004,6.990005,8,58,7
-208.284996,-199.839996,-216.729996,16.889999,7,59,7
-208.075005,-199.960007,-216.190002,16.229996,8,59,7
-209.519997,-200.000000,-219.039993,19.039993,7,60,7
-209.665001,-200.000000,-219.330002,19.330002,8,60,7
-185.089996,-184.589996,-185.589996,1.000000,9,50,7
-185.000000,-184.500000,-185.500000,1.000000,9,51,7
-185.490005,-184.990005,-185.990005,1.000000,9,52,7
-185.860001,-185.360001,-186.360001,1.000000,9,53,7
-186.889999,-186.389999,-187.389999,1.000000,9,54,7
-188.160004,-187.660004,-188.660004,1.000000,9,55,7
-190.500000,-190.000000,-191.000000,1.000000,9,56,7
-194.434998,-193.690002,-195.179993,1.489990,9,57,7
-203.574997,-198.279999,-208.869995,10.589996,9,58,7
-208.155006,-199.990005,-216.320007,16.330002,9,59,7
-210.535004,-200.000000,-221.070007,21.070007,9,60,7
-185.460007,-184.960007,-185.960007,1.000000,10,50,7
-185.020004,-184.520004,-185.520004,1.000000,10,51,7
-185.289993,-184.789993,-185.789993,1.000000,10,52,7
-186.380005,-185.880005,-186.880005,1.000000,10,53,7
-188.169998,-187.669998,-188.669998,1.000000,10,54,7
-189.130005,-188.630005,-189.630005,1.000000,10,55,7
-191.600006,-191.100006,-192.100006,1.000000,10,56,7
-195.924995,-194.839996,-197.009995,2.169998,10,57,7
-200.355003,-197.490005,-203.220001,5.729996,10,58,7
-208.724998,-199.809998,-217.639999,17.830002,10,59,7
-216.769997,-200.000000,-233.539993,33.539993,10,60,7
-186.279999,-185.779999,-186.779999,1.000000,11,50,7
-185.539993,-185.039993,-186.039993,1.000000,11,51,7
-185.970001,-185.470001,-186.470001,1.000000,11,52,7
-187.130005,-186.630005,-187.630005,1.000000,11,53,7
-188.580002,-188.080002,-189.080002,1.000000,11,54,7
-191.275002,-190.740005,-191.809998,1.069992,11,55,7
-193.504997,-192.929993,-194.080002,1.150009,11,56,7
-196.470001,-195.250000,-197.690002,2.440002,11,57,7
-201.674995,-198.419998,-204.929993,6.509995,11,58,7
-208.629997,-199.919998,-217.339996,17.419998,11,59,7
-210.404999,-200.000000,-220.809998,20.809998,11,60,7
-187.250000,-186.750000,-187.750000,1.000000,12,50,7
-186.610001,-186.110001,-187.110001,1.000000,12,51,7
-186.740005,-186.240005,-187.240005,1.000000,12,52,7
-187.869995,-187.369995,-188.369995,1.000000,12,53,7
-189.809998,-189.309998,-190.309998,1.000000,12,54,7
