FeatureID,X,Y,Elevation
0,292182.1341,9105647.632,-184.770004
1,292278.2603,9105620.068,-184.330002
2,292374.3864,9105592.505,-184.669998
3,292470.5126,9105564.941,-184.589996
4,292566.6388,9105537.377,-184.539993
5,292662.7649,9105509.814,-184.559998
6,292758.8911,9105482.25,-185.130005
7,292855.0173,9105454.686,-185.110001
8,292951.1434,9105427.122,-186.080002
9,293047.2696,9105399.559,-186.240005
10,293143.3958,9105371.995,-188.660004
11,292154.5703,9105551.506,-187.339996
12,292250.6965,9105523.942,-192.479996
13,292346.8227,9105496.379,-191.169998
14,292442.9489,9105468.815,-196.25
15,292539.075,9105441.251,-196.229996
16,292635.2012,9105413.687,-198.369995
17,292731.3274,9105386.124,-198.419998
18,292827.4535,9105358.56,-199.839996
19,292923.5797,9105330.996,-199.960007
20,293019.7059,9105303.432,-200
21,293115.832,9105275.869,-200
22,292127.0066,9105455.38,-184.589996
23,292223.1328,9105427.816,-184.5
24,292319.259,9105400.252,-184.990005
25,292415.3851,9105372.689,-185.360001
26,292511.5113,9105345.125,-186.389999
27,292607.6375,9105317.561,-187.660004
28,292703.7636,9105289.997,-190
29,292799.8898,9105262.434,-193.690002
30,292896.016,9105234.87,-198.279999
31,292992.1421,9105207.306,-199.990005
32,293088.2683,9105179.743,-200
33,292099.4429,9105359.254,-184.960007
34,292195.569,9105331.69,-184.520004
35,292291.6952,9105304.126,-184.789993
36,292387.8214,9105276.562,-185.880005
37,292483.9476,9105248.999,-187.669998
38,292580.0737,9105221.435,-188.630005
39,292676.1999,9105193.871,-191.100006
40,292772.3261,9105166.308,-194.839996
41,292868.4522,9105138.744,-197.490005
42,292964.5784,9105111.18,-199.809998
43,293060.7046,9105083.616,-200
44,292071.8791,9105263.128,-185.779999
45,292168.0053,9105235.564,-185.039993
46,292264.1315,9105208,-185.470001
47,292360.2577,9105180.436,-186.630005
48,292456.3838,9105152.873,-188.080002
49,292552.51,9105125.309,-190.740005
50,292648.6362,9105097.745,-192.929993
51,292744.7623,9105070.181,-195.25
52,292840.8885,9105042.618,-198.419998
53,292937.0147,9105015.054,-199.919998
54,293033.1408,9104987.49,-200
55,292044.3154,9105167.001,-186.75
56,292140.4416,9105139.438,-186.110001
57,292236.5677,9105111.874,-186.240005
58,292344.121,9105063.695,-187.369995
59,292428.8201,9105056.746,-189.309998
60,292524.9463,9105029.183,-191.490005
61,292621.0724,9105001.619,-194.259995
62,292717.1986,9104974.055,-197.309998
63,292813.3248,9104946.491,-198.949997
64,292909.4509,9104918.928,-199.949997
65,293005.5771,9104891.364,-200
66,292016.7517,9105070.875,-187.789993
67,292112.8778,9105043.311,-187.679993
68,292209.004,9105015.748,-188.059998
69,292305.1302,9104988.184,-188.729996
70,292401.2564,9104960.62,-190.229996
71,292497.3825,9104933.057,-192.619995
72,292593.5087,9104905.493,-195.539993
73,292689.6349,9104877.929,-198.449997
74,292785.761,9104850.365,-199.729996
75,292881.8872,9104822.802,-200
76,292978.0134,9104795.238,-200
77,291989.1879,9104974.749,-189.210007
78,292085.3141,9104947.185,-189.399994
79,292181.4403,9104919.622,-190.089996
80,292277.5664,9104892.058,-190.789993
81,292373.6926,9104864.494,-191.800003
82,292469.8188,9104836.93,-193.009995
83,292565.945,9104809.367,-196.669998
84,292662.0711,9104781.803,-199.210007
85,292758.1973,9104754.239,-199.899994
86,292854.3235,9104726.675,-200
87,292950.4496,9104699.112,-200
88,291961.6242,9104878.623,-190.850006
89,292057.7504,9104851.059,-191.380005
90,292153.8765,9104823.495,-192.479996
91,292250.0027,9104795.932,-194.850006
92,292346.1289,9104768.368,-196.990005
