Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
7.401700,7.901700,6.901700,1.000000,7,50,1
7.760300,8.260300,7.260300,1.000000,7,51,1
7.356100,7.856100,6.856100,1.000000,7,52,1
6.914200,7.414200,6.414200,1.000000,7,53,1
6.624600,7.124600,6.124600,1.000000,7,54,1
4.720150,5.242200,4.198100,1.044100,7,55,1
2.290200,2.841900,1.738500,1.103400,7,56,1
0.527947,1.152800,-0.096906,1.249706,7,57,1
-0.315150,0.279570,-0.909870,1.189440,7,58,1
-0.500000,0.000000,-1.000000,1.000000,7,59,1
-0.500000,0.000000,-1.000000,1.000000,7,60,1
7.248100,7.748100,6.748100,1.000000,8,50,1
6.925300,7.425300,6.425300,1.000000,8,51,1
6.672400,7.172400,6.172400,1.000000,8,52,1
6.724400,7.224400,6.224400,1.000000,8,53,1
6.546900,7.046900,6.046900,1.000000,8,54,1
5.207850,5.947000,4.468700,1.478300,8,55,1
2.421500,3.303300,1.539700,1.763600,8,56,1
-0.105355,0.541340,-0.752050,1.293390,8,57,1
-0.500000,0.000000,-1.000000,1.000000,8,58,1
-0.500200,0.000000,-1.000400,1.000400,8,59,1
-0.500000,0.000000,-1.000000,1.000000,8,60,1
7.196900,7.696900,6.696900,1.000000,9,50,1
7.289300,7.789300,6.789300,1.000000,9,51,1
7.074100,7.574100,6.574100,1.000000,9,52,1
6.733500,7.233500,6.233500,1.000000,9,53,1
5.920900,6.420900,5.420900,1.000000,9,54,1
4.065050,4.925900,3.204200,1.721700,9,55,1
2.740550,3.553900,1.927200,1.626700,9,56,1
1.282295,1.858000,0.706590,1.151410,9,57,1
-0.479440,0.034780,-0.993660,1.028440,9,58,1
-0.500150,0.000000,-1.000300,1.000300,9,59,1
-0.500000,0.000000,-1.000000,1.000000,9,60,1
7.499800,7.999800,6.999800,1.000000,10,50,1
7.206300,7.706300,6.706300,1.000000,10,51,1
6.977400,7.477400,6.477400,1.000000,10,52,1
6.682200,7.182200,6.182200,1.000000,10,53,1
5.528550,6.230600,4.826500,1.404100,10,54,1
4.269100,5.095500,3.442700,1.652800,10,55,1
2.714000,3.554800,1.873200,1.681600,10,56,1
1.357985,1.965400,0.750570,1.214830,10,57,1
-0.454143,0.082805,-0.991090,1.073895,10,58,1
-0.501900,0.000000,-1.003800,1.003800,10,59,1
-0.577250,0.000000,-1.154500,1.154500,10,60,1
7.566300,8.066300,7.066300,1.000000,11,50,1
8.078200,8.578200,7.578200,1.000000,11,51,1
8.430400,8.930400,7.930400,1.000000,11,52,1
8.553000,9.312800,7.793200,1.519600,11,53,1
7.408300,8.528200,6.288400,2.239800,11,54,1
4.556900,5.677300,3.436500,2.240800,11,55,1
1.634945,2.465800,0.804090,1.661710,11,56,1
0.036540,0.536540,-0.463460,1.000000,11,57,1
-0.500000,0.000000,-1.000000,1.000000,11,58,1
-0.502050,0.000000,-1.004100,1.004100,11,59,1
-0.502600,0.000000,-1.005200,1.005200,11,60,1
6.778800,7.278800,6.278800,1.000000,12,50,1
7.246500,7.746500,6.746500,1.000000,12,51,1
8.582000,9.082000,8.082000,1.000000,12,52,1
8.819200,9.319200,8.319200,1.000000,12,53,1
5.774000,6.274000,5.274000,1.000000,12,54,1
3.330600,3.830600,2.830600,1.000000,12,55,1
1.052410,1.552400,0.552420,0.999980,12,56,1
-0.289750,0.210250,-0.789750,1.000000,12,57,1
-0.500000,0.000000,-1.000000,1.000000,12,58,1
-0.503100,0.000000,-1.006200,1.006200,12,59,1
-0.500000,0.000000,-1.000000,1.000000,12,60,1
7.280100,7.780100,6.780100,1.000000,13,50,1
7.919400,8.419400,7.419400,1.000000,13,51,1
8.607500,9.107500,8.107500,1.000000,13,52,1
9.101500,9.601500,8.601500,1.000000,13,53,1
7.547400,8.047400,7.047400,1.000000,13,54,1
4.140800,4.640800,3.640800,1.000000,13,55,1
2.205900,2.705900,1.705900,1.000000,13,56,1
-0.181840,0.318160,-0.681840,1.000000,13,57,1
-0.500000,0.000000,-1.000000,1.000000,13,58,1
-0.502850,0.000000,-1.005700,1.005700,13,59,1
-0.500000,0.000000,-1.000000,1.000000,13,60,1
7.661200,8.161200,7.161200,1.000000,14,50,1
7.928800,8.428800,7.428800,1.000000,14,51,1
9.527200,10.027000,9.027400,0.999600,14,52,1
10.323150,10.823000,9.823300,0.999700,14,53,1
10.288000,10.788000,9.788000,1.000000,14,54,1
8.593100,9.093100,8.093100,1.000000,14,55,1
3.403200,3.903200,2.903200,1.000000,14,56,1
-0.408040,0.091959,-0.908040,0.999999,14,57,1
-0.500000,0.000000,-1.000000,1.000000,14,58,1
-0.502750,0.000000,-1.005500,1.005500,14,59,1
-0.500000,0.000000,-1.000000,1.000000,14,60,1
7.259800,7.759800,6.759800,1.000000,15,50,1
8.265100,8.765100,7.765100,1.000000,15,51,1
9.257400,9.757400,8.757400,1.000000,15,52,1
9.311100,9.811100,8.811100,1.000000,15,53,1
7.478300,7.978300,6.978300,1.000000,15,54,1
5.437700,5.937700,4.937700,1.000000,15,55,1
2.642200,3.142200,2.142200,1.000000,15,56,1
-0.276540,0.223460,-0.776540,1.000000,15,57,1
-0.500000,0.000000,-1.000000,1.000000,15,58,1
-0.502000,0.000000,-1.004000,1.004000,15,59,1
-0.500000,0.000000,-1.000000,1.000000,15,60,1
7.630500,8.130500,7.130500,1.000000,16,50,1
8.193700,8.693700,7.693700,1.000000,16,51,1
8.616100,9.116100,8.116100,1.000000,16,52,1
7.058900,7.558900,6.558900,1.000000,16,53,1
6.233400,6.733400,5.733400,1.000000,16,54,1
3.837700,4.337700,3.337700,1.000000,16,55,1
1.138810,1.638800,0.638820,0.999980,16,56,1
-0.192520,0.307480,-0.692520,1.000000,16,57,1
-0.322720,0.177280,-0.822720,1.000000,16,58,1
-0.501250,0.000000,-1.002500,1.002500,16,59,1
-0.500500,0.000000,-1.001000,1.001000,16,60,1
7.342100,7.842100,6.842100,1.000000,17,50,1
8.162900,8.662900,7.662900,1.000000,17,51,1
8.869500,9.369500,8.369500,1.000000,17,52,1
9.276900,9.776900,8.776900,1.000000,17,53,1
6.465600,6.965600,5.965600,1.000000,17,54,1
3.327200,3.827200,2.827200,1.000000,17,55,1
1.105380,1.605400,0.605360,1.000040,17,56,1
-0.316810,0.183190,-0.816810,1.000000,17,57,1
-0.433332,0.066667,-0.933330,0.999997,17,58,1
-0.500900,0.000000,-1.001800,1.001800,17,59,1
-0.550450,0.000000,-1.100900,1.100900,17,60,1
7.026000,7.526000,6.526000,1.000000,18,50,1
7.371500,7.871500,6.871500,1.000000,18,51,1
7.948400,8.448400,7.448400,1.000000,18,52,1
6.590200,7.090200,6.090200,1.000000,18,53,1
4.935800,5.435800,4.435800,1.000000,18,54,1
