Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
-109.956503,-35.143002,-184.770004,149.627003,7,50,6
-109.931501,-35.533001,-184.330002,148.797001,7,51,6
-110.893499,-37.117001,-184.669998,147.552998,8,50,6
-111.406998,-38.223999,-184.589996,146.365997,8,51,6
-111.066496,-37.592999,-184.539993,146.946995,7,52,6
-112.007999,-39.456001,-184.559998,145.103996,8,52,6
-113.024002,-40.917999,-185.130005,144.212006,7,53,6
-113.790001,-42.470001,-185.110001,142.639999,8,53,6
-115.337502,-44.595001,-186.080002,141.485001,7,54,6
-117.074003,-47.908001,-186.240005,138.332005,8,54,6
-120.182503,-51.705002,-188.660004,136.955002,7,55,6
-119.930998,-52.521999,-187.339996,134.817997,8,55,6
-124.182999,-55.886002,-192.479996,136.593994,7,56,6
-124.580000,-57.990002,-191.169998,133.179996,8,56,6
-126.579000,-56.908001,-196.250000,139.341999,7,57,6
-128.297499,-60.365002,-196.229996,135.864994,8,57,6
-128.057497,-57.744999,-198.369995,140.624996,7,58,6
-129.813499,-61.207001,-198.419998,137.212997,8,58,6
-128.500998,-57.161999,-199.839996,142.677998,7,59,6
-130.339003,-60.717999,-199.960007,139.242008,8,59,6
-128.869499,-57.738998,-200.000000,142.261002,7,60,6
-130.600500,-61.201000,-200.000000,138.799000,8,60,6
-112.124498,-39.659000,-184.589996,144.930996,9,50,6
-112.059500,-39.619000,-184.500000,144.881001,9,51,6
-113.785503,-42.581001,-184.990005,142.409004,9,52,6
-115.159500,-44.959000,-185.360001,140.401001,9,53,6
-117.997000,-49.604000,-186.389999,136.785999,9,54,6
-120.891003,-54.122002,-187.660004,133.538002,9,55,6
-123.525999,-57.051998,-190.000000,132.948002,9,56,6
-127.296501,-60.903000,-193.690002,132.787003,9,57,6
-130.898499,-63.516998,-198.279999,134.763000,9,58,6
-132.180004,-64.370003,-199.990005,135.620003,9,59,6
-132.331501,-64.663002,-200.000000,135.336998,9,60,6
-113.633003,-42.306000,-184.960007,142.654007,10,50,6
-113.056501,-41.592999,-184.520004,142.927006,10,51,6
-113.977997,-43.166000,-184.789993,141.623993,10,52,6
-115.973003,-46.066002,-185.880005,139.814003,10,53,6
-118.792500,-49.915001,-187.669998,137.754997,10,54,6
-120.972002,-53.313999,-188.630005,135.316006,10,55,6
-124.878504,-58.657001,-191.100006,132.443005,10,56,6
-129.380999,-63.922001,-194.839996,130.917995,10,57,6
-132.380505,-67.271004,-197.490005,130.219002,10,58,6
-133.613499,-67.417000,-199.809998,132.392998,10,59,6
-133.367500,-66.735001,-200.000000,133.264999,10,60,6
-114.853498,-43.926998,-185.779999,141.853001,11,50,6
-113.382496,-41.724998,-185.039993,143.314995,11,51,6
-113.318001,-41.166000,-185.470001,144.304001,11,52,6
-114.947502,-43.264999,-186.630005,143.365005,11,53,6
-117.936501,-47.792999,-188.080002,140.287003,11,54,6
-123.495003,-56.250000,-190.740005,134.490005,11,55,6
-128.318996,-63.708000,-192.929993,129.221992,11,56,6
-131.620499,-67.990997,-195.250000,127.259003,11,57,6
-134.876499,-71.333000,-198.419998,127.086998,11,58,6
-135.343498,-70.766998,-199.919998,129.153000,11,59,6
-135.632000,-71.264000,-200.000000,128.736000,11,60,6
-115.285500,-43.820999,-186.750000,142.929001,12,50,6
-114.470501,-42.831001,-186.110001,143.278999,12,51,6
-114.160004,-42.080002,-186.240005,144.160004,12,52,6
-116.232498,-45.095001,-187.369995,142.274994,12,53,6
-121.345499,-53.381000,-189.309998,135.928997,12,54,6
-126.194502,-60.898998,-191.490005,130.591007,12,55,6
-131.361496,-68.462997,-194.259995,125.796997,12,56,6
-135.060997,-72.811997,-197.309998,124.498001,12,57,6
-136.996998,-75.043999,-198.949997,123.905998,12,58,6
-137.162498,-74.375000,-199.949997,125.574997,12,59,6
-137.529999,-75.059998,-200.000000,124.940002,12,60,6
-115.538496,-43.286999,-187.789993,144.502995,13,50,6
-116.238497,-44.797001,-187.679993,142.882992,13,51,6
-117.858999,-47.658001,-188.059998,140.401997,13,52,6
-119.997498,-51.264999,-188.729996,137.464996,13,53,6
-125.695997,-61.161999,-190.229996,129.067997,13,54,6
-132.054497,-71.488998,-192.619995,121.130997,13,55,6
-135.947998,-76.356003,-195.539993,119.183990,13,56,6
-138.089497,-77.728996,-198.449997,120.721001,13,57,6
-138.900497,-78.070999,-199.729996,121.658997,13,58,6
-138.819500,-77.639000,-200.000000,122.361000,13,59,6
-139.048500,-78.097000,-200.000000,121.903000,13,60,6
-117.204504,-45.199001,-189.210007,144.011005,14,50,6
-117.110996,-44.821999,-189.399994,144.577995,14,51,6
-120.991499,-51.893002,-190.089996,138.196995,14,52,6
-125.047997,-59.306000,-190.789993,131.483994,14,53,6
-130.637001,-69.473999,-191.800003,122.326004,14,54,6
-134.031998,-75.054001,-193.009995,117.955994,14,55,6
-137.660000,-78.650002,-196.669998,118.019997,14,56,6
-138.935505,-78.661003,-199.210007,120.549004,14,57,6
-139.288998,-78.678001,-199.899994,121.221992,14,58,6
-139.326500,-78.653000,-200.000000,121.347000,14,59,6
-139.338501,-78.677002,-200.000000,121.322998,14,60,6
-117.493004,-44.136002,-190.850006,146.714005,15,50,6
-119.136002,-46.891998,-191.380005,144.488007,15,51,6
-123.923998,-55.368000,-192.479996,137.111996,15,52,6
-128.918003,-62.986000,-194.850006,131.864006,15,53,6
-133.202503,-69.415001,-196.990005,127.575005,15,54,6
-137.352997,-75.916000,-198.789993,122.873993,15,55,6
-139.045998,-78.361999,-199.729996,121.367996,15,56,6
-139.413002,-78.835999,-199.990005,121.154007,15,57,6
-139.424000,-78.848000,-200.000000,121.152000,15,58,6
-139.412998,-78.825996,-200.000000,121.174004,15,59,6
-139.424000,-78.848000,-200.000000,121.152000,15,60,6
-117.740000,-42.869999,-192.610001,149.740002,16,50,6
-121.139002,-47.728001,-194.550003,146.822002,16,51,6
-125.696497,-54.272999,-197.119995,142.846996,16,52,6
-131.543003,-63.736000,-199.350006,135.614006,16,53,6
-135.435001,-70.870003,-200.000000,129.129997,16,54,6
-137.722000,-75.444000,-200.000000,124.556000,16,55,6
-139.034500,-78.069000,-200.000000,121.931000,16,56,6
-139.429501,-78.859001,-200.000000,121.140999,16,57,6
-139.507500,-79.014999,-200.000000,120.985001,16,58,6
-139.493000,-78.986000,-200.000000,121.014000,16,59,6
-139.509499,-79.018997,-200.000000,120.981003,16,60,6
-118.848003,-43.706001,-193.990005,150.284004,17,50,6
-120.900002,-44.669998,-197.130005,152.460007,17,51,6
-127.128998,-54.417999,-199.839996,145.421997,17,52,6
-130.586000,-61.172001,-200.000000,138.827999,17,53,6
-134.874500,-69.749000,-200.000000,130.250999,17,54,6
-137.280499,-74.560997,-200.000000,125.439003,17,55,6
-138.350498,-76.700996,-200.000000,123.299004,17,56,6
-139.344501,-78.689003,-200.000000,121.310997,17,57,6
-139.565498,-79.130997,-200.000000,120.869003,17,58,6
-139.573002,-79.146004,-200.000000,120.853996,17,59,6
-139.570999,-79.141998,-200.000000,120.858002,17,60,6
-120.484497,-43.539001,-197.429993,153.890991,18,50,6
-120.998501,-42.887001,-199.110001,156.223000,18,51,6
-124.884003,-49.807999,-199.960007,150.152008,18,52,6
-129.784500,-59.569000,-200.000000,140.431000,18,53,6
-133.343498,-66.686997,-200.000000,133.313004,18,54,6
-136.021000,-72.042000,-200.000000,127.958000,18,55,6
-137.970501,-75.941002,-200.000000,124.058998,18,56,6
-139.042000,-78.084000,-200.000000,121.916000,18,57,6
-139.511501,-79.023003,-200.000000,120.976997,18,58,6
-139.662498,-79.324997,-200.000000,120.675003,18,59,6
-139.674000,-79.348000,-200.000000,120.652000,18,60,6
-121.287502,-42.775002,-199.800003,157.025002,19,50,6
-121.709997,-43.439999,-199.979996,156.539997,19,51,6
-123.115999,-46.231998,-200.000000,153.768002,19,52,6
-126.483000,-52.966000,-200.000000,147.034000,19,53,6
-130.820499,-61.640999,-200.000000,138.359001,19,54,6
-135.401001,-70.802002,-200.000000,129.197998,19,55,6
-137.687000,-75.374000,-200.000000,124.625999,19,56,6
-139.372002,-78.744003,-200.000000,121.255997,19,57,6
-139.764999,-79.529999,-200.000000,120.470001,19,58,6
-139.747501,-79.495003,-200.000000,120.504997,19,59,6
-139.763500,-79.527000,-200.000000,120.473000,19,60,6
-121.591999,-43.183998,-200.000000,156.816002,20,50,6
-121.403999,-42.807999,-200.000000,157.192001,20,51,6
-122.844999,-45.689999,-200.000000,154.310001,20,52,6
-125.059999,-50.119999,-200.000000,149.880001,20,53,6
-128.790501,-57.581001,-200.000000,142.418999,20,54,6
-133.901501,-67.803001,-200.000000,132.196999,20,55,6
-138.231998,-76.463997,-200.000000,123.536003,20,56,6
-139.484001,-78.968002,-200.000000,121.031998,20,57,6
-139.851002,-79.702004,-200.000000,120.297997,20,58,6
-139.840000,-79.680000,-200.000000,120.320000,20,59,6
-139.851002,-79.702004,-200.000000,120.297997,20,60,6
