FeatureID,PartID,X,Y,Z,SLB_WHI_ID,,,,,,FeatureID,PartID,X,Y
0,1,292147.8529,9105709.477,0,24588a19-1fa5-47af-a8f1-461a65ea392a,,,,0,,0,1,292147.8529,9105709.477
0,1,292243.979,9105681.913,0,24588a19-1fa5-47af-a8f1-461a65ea392a,,,,0,,0,1,292243.979,9105681.913
0,1,292216.4153,9105585.787,0,24588a19-1fa5-47af-a8f1-461a65ea392a,,,,0,,0,1,292216.4153,9105585.787
0,1,292120.2891,9105613.351,0,24588a19-1fa5-47af-a8f1-461a65ea392a,,,,0,,0,1,292120.2891,9105613.351
0,1,292147.8529,9105709.477,0,24588a19-1fa5-47af-a8f1-461a65ea392a,,,,1,,1,1,292243.979,9105681.913
1,1,292243.979,9105681.913,0,7f19cf2e-d6a2-4a2d-993e-8c00514cc6f8,,,,0,,1,1,292340.1052,9105654.35
1,1,292340.1052,9105654.35,0,7f19cf2e-d6a2-4a2d-993e-8c00514cc6f8,,,,0,,1,1,292312.5415,9105558.224
1,1,292312.5415,9105558.224,0,7f19cf2e-d6a2-4a2d-993e-8c00514cc6f8,,,,0,,1,1,292216.4153,9105585.787
1,1,292216.4153,9105585.787,0,7f19cf2e-d6a2-4a2d-993e-8c00514cc6f8,,,,0,,2,1,292120.2891,9105613.351
1,1,292243.979,9105681.913,0,7f19cf2e-d6a2-4a2d-993e-8c00514cc6f8,,,,1,,2,1,292216.4153,9105585.787
2,1,292120.2891,9105613.351,0,0fbfcb7f-aaa5-4076-853a-50c3cdf6acc3,,,,0,,2,1,292188.8516,9105489.661
2,1,292216.4153,9105585.787,0,0fbfcb7f-aaa5-4076-853a-50c3cdf6acc3,,,,0,,2,1,292092.7254,9105517.225
2,1,292188.8516,9105489.661,0,0fbfcb7f-aaa5-4076-853a-50c3cdf6acc3,,,,0,,3,1,292216.4153,9105585.787
2,1,292092.7254,9105517.225,0,0fbfcb7f-aaa5-4076-853a-50c3cdf6acc3,,,,0,,3,1,292312.5415,9105558.224
2,1,292120.2891,9105613.351,0,0fbfcb7f-aaa5-4076-853a-50c3cdf6acc3,,,,1,,3,1,292284.9777,9105462.097
3,1,292216.4153,9105585.787,0,cfb76eb6-a8fd-4672-b134-741991c2ee06,,,,0,,3,1,292188.8516,9105489.661
