Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
-9.733650,6.901700,-26.369000,33.270699,7,50,2
-9.690350,7.260300,-26.641001,33.901301,7,51,2
-10.312950,6.748100,-27.374001,34.122100,8,50,2
-11.122350,6.425300,-28.670000,35.095300,8,51,2
-11.056450,6.856100,-28.969000,35.825100,7,52,2
-11.889800,6.172400,-29.952000,36.124400,8,52,2
-13.215401,6.414200,-32.845001,39.259201,7,53,2
-13.623800,6.224400,-33.472000,39.696400,8,53,2
-15.470701,6.124600,-37.066002,43.190602,7,54,2
-16.987050,6.046900,-40.021000,46.067900,8,54,2
-20.539950,4.198100,-45.278000,49.476100,7,55,2
-20.510149,4.468700,-45.488998,49.957698,8,55,2
-24.137250,1.738500,-50.013000,51.751500,7,56,2
-25.228149,1.539700,-51.995998,53.535698,8,56,2
-25.613953,-0.096906,-51.131000,51.034095,7,57,2
-27.844025,-0.752050,-54.936001,54.183951,8,57,2
-26.484434,-0.909870,-52.058998,51.149128,7,58,2
-28.484501,-1.000000,-55.969002,54.969002,8,58,2
-26.200501,-1.000000,-51.401001,50.401001,7,59,2
-28.208200,-1.000400,-55.416000,54.415600,8,59,2
-26.525999,-1.000000,-52.051998,51.051998,7,60,2
-28.481001,-1.000000,-55.962002,54.962002,8,60,2
-11.084050,6.696900,-28.865000,35.561900,9,50,2
-11.087350,6.789300,-28.964001,35.753301,9,51,2
-12.981949,6.574100,-32.537998,39.112098,9,52,2
-14.500251,6.233500,-35.234001,41.467501,9,53,2
-17.692550,5.420900,-40.806000,46.226900,9,54,2
-21.575400,3.204200,-46.354999,49.559200,9,55,2
-24.075400,1.927200,-50.077999,52.005199,9,56,2
-27.166705,0.706590,-55.040001,55.746591,9,57,2
-29.743830,-0.993660,-58.494000,57.500340,9,58,2
-30.270650,-1.000300,-59.541000,58.540700,9,59,2
-30.436001,-1.000000,-59.872002,58.872002,9,60,2
-11.944100,6.999800,-30.888001,37.887801,10,50,2
-11.620350,6.706300,-29.947001,36.653300,10,51,2
-12.685300,6.477400,-31.848000,38.325399,10,52,2
-14.632901,6.182200,-35.448002,41.630202,10,53,2
-17.777250,4.826500,-40.381000,45.207501,10,54,2
-20.639650,3.442700,-44.722000,48.164700,10,55,2
-24.856901,1.873200,-51.587002,53.460202,10,56,2
-28.815215,0.750570,-58.381000,59.131571,10,57,2
-31.849045,-0.991090,-62.707001,61.715911,10,58,2
-31.993401,-1.003800,-62.983002,61.979202,10,59,2
-31.683251,-1.154500,-62.212002,61.057502,10,60,2
-12.833351,7.066300,-32.733002,39.799302,11,50,2
-11.046900,7.578200,-29.672001,37.250201,11,51,2
-10.401800,7.930400,-28.733999,36.664399,11,52,2
-11.737400,7.793200,-31.268000,39.061200,11,53,2
-15.393800,6.288400,-37.076000,43.364400,11,54,2
-22.276249,3.436500,-47.988998,51.425499,11,55,2
-28.377454,0.804090,-57.558998,58.363088,11,56,2
-31.755730,-0.463460,-63.048000,62.584540,11,57,2
-34.188999,-1.000000,-67.377998,66.377998,11,58,2
-33.885049,-1.004100,-66.765999,65.761899,11,59,2
-34.166601,-1.005200,-67.328003,66.322803,11,60,2
-13.479100,6.278800,-33.237000,39.515799,12,50,2
-12.402250,6.746500,-31.551001,38.297501,12,51,2
-11.009500,8.082000,-30.101000,38.183000,12,52,2
-12.533401,8.319200,-33.386002,41.705201,12,53,2
-19.241000,5.274000,-43.756000,49.030001,12,54,2
-25.293700,2.830600,-53.417999,56.248599,12,55,2
-31.296290,0.552420,-63.145001,63.697420,12,56,2
-34.800873,-0.789750,-68.811997,68.022246,12,57,2
-36.297501,-1.000000,-71.595001,70.595001,12,58,2
-35.924101,-1.006200,-70.842003,69.835803,12,59,2
-36.307499,-1.000000,-71.614998,70.614998,12,60,2
-13.215449,6.780100,-33.210999,39.991098,13,50,2
-13.588800,7.419400,-34.597000,42.016400,13,51,2
-14.753751,8.107500,-37.615002,45.722502,13,52,2
-16.506751,8.601500,-41.615002,50.216501,13,53,2
-23.264800,7.047400,-53.577000,60.624400,13,54,2
-31.459599,3.640800,-66.559998,70.200798,13,55,2
-35.546552,1.705900,-72.799004,74.504904,13,56,2
-37.651421,-0.681840,-74.621002,73.939162,13,57,2
-38.006500,-1.000000,-75.013001,74.013001,13,58,2
-37.765351,-1.005700,-74.525002,73.519301,13,59,2
-38.020500,-1.000000,-75.041000,74.041000,13,60,2
-14.413899,7.161200,-35.988998,43.150199,14,50,2
-13.950601,7.428800,-35.330002,42.758802,14,51,2
-17.208800,9.027400,-43.445000,52.472400,14,52,2
-21.195850,9.823300,-52.215000,62.038300,14,53,2
-27.344499,9.788000,-64.476997,74.264998,14,54,2
-31.584950,8.093100,-71.263001,79.356100,14,55,2
-36.344901,2.903200,-75.593002,78.496202,14,56,2
-38.282019,-0.908040,-75.655998,74.747958,14,57,2
-38.339001,-1.000000,-75.678001,74.678001,14,58,2
-38.329250,-1.005500,-75.653000,74.647500,14,59,2
-38.338501,-1.000000,-75.677002,74.677002,14,60,2
-14.364100,6.759800,-35.487999,42.247799,15,50,2
-15.344951,7.765100,-38.455002,46.220102,15,51,2
-19.777800,8.757400,-48.313000,57.070399,15,52,2
-24.221451,8.811100,-57.254002,66.065102,15,53,2
-28.929349,6.978300,-64.836998,71.815298,15,54,2
-33.760150,4.937700,-72.458000,77.395700,15,55,2
-36.561400,2.142200,-75.264999,77.407199,15,56,2
-38.300768,-0.776540,-75.824997,75.048457,15,57,2
-38.424000,-1.000000,-75.848000,74.848000,15,58,2
-38.414998,-1.004000,-75.825996,74.821996,15,59,2
-38.424000,-1.000000,-75.848000,74.848000,15,60,2
-13.734749,7.130500,-34.599998,41.730498,16,50,2
-16.212650,7.693700,-40.119000,47.812699,16,51,2
-19.757950,8.116100,-47.632000,55.748100,16,52,2
-26.014051,6.558900,-58.587002,65.145902,16,53,2
-30.592300,5.733400,-66.917999,72.651399,16,54,2
-34.377151,3.337700,-72.092003,75.429703,16,55,2
-37.157591,0.638820,-74.954002,75.592822,16,56,2
-38.260261,-0.692520,-75.828003,75.135483,16,57,2
-38.415861,-0.822720,-76.009003,75.186283,16,58,2
-38.494250,-1.002500,-75.986000,74.983500,16,59,2
-38.509999,-1.001000,-76.018997,75.017997,16,60,2
-14.312949,6.842100,-35.467999,42.310099,17,50,2
-14.665550,7.662900,-36.994000,44.656900,17,51,2
-20.014249,8.369500,-48.397999,56.767499,17,52,2
-23.703549,8.776900,-56.183998,64.960898,17,53,2
-29.965702,5.965600,-65.897003,71.862603,17,54,2
-34.169900,2.827200,-71.167000,73.994200,17,55,2
-36.439820,0.605360,-73.485001,74.090361,17,56,2
-38.229904,-0.816810,-75.642998,74.826188,17,57,2
-38.528166,-0.933330,-76.123001,75.189671,17,58,2
-38.573902,-1.001800,-76.146004,75.144204,17,59,2
-38.621449,-1.100900,-76.141998,75.041098,17,60,2
-14.033000,6.526000,-34.591999,41.117999,18,50,2
-14.067750,6.871500,-35.007000,41.878500,18,51,2
-18.100299,7.448400,-43.648998,51.097398,18,52,2
-24.332900,6.090200,-54.756000,60.846201,18,53,2
-29.129100,4.435800,-62.694000,67.129800,18,54,2
-33.202700,2.067600,-68.473000,70.540600,18,55,2
-36.295203,0.089594,-72.680000,72.769594,18,56,2
-37.889930,-0.791860,-74.987999,74.196139,18,57,2
-38.473470,-0.948940,-75.998001,75.049061,18,58,2
-38.663598,-1.002200,-76.324997,75.322797,18,59,2
-38.674300,-1.000600,-76.348000,75.347400,18,60,2
-13.712450,6.478100,-33.903000,40.381100,19,50,2
-14.508650,6.663700,-35.681000,42.344700,19,51,2
-16.249901,7.275200,-39.775002,47.050201,19,52,2
-20.105050,7.533900,-47.744000,55.277899,19,53,2
-25.858651,5.550700,-57.268002,62.818702,19,54,2
-32.576050,1.999900,-67.152000,69.151900,19,55,2
-35.769456,0.527090,-72.066002,72.593092,19,56,2
-38.269277,-0.850550,-75.688003,74.837453,19,57,2
-38.764999,-1.000000,-76.529999,75.529999,19,58,2
-38.749251,-1.003500,-76.495003,75.491503,19,59,2
-38.763500,-1.000000,-76.527000,75.527000,19,60,2
-13.554501,7.132000,-34.241001,41.373001,20,50,2
-13.786250,7.038500,-34.611000,41.649500,20,51,2
-16.076400,7.249200,-39.402000,46.651200,20,52,2
-18.995599,6.816800,-44.807999,51.624799,20,53,2
-23.571851,5.791300,-52.935001,58.726301,20,54,2
-30.426449,3.066100,-63.918999,66.985099,20,55,2
-36.798375,-0.372750,-73.223999,72.851249,20,56,2
-38.446610,-0.977220,-75.916000,74.938780,20,57,2
-38.851002,-1.000000,-76.702004,75.702004,20,58,2
-38.840950,-1.001900,-76.680000,75.678100,20,59,2
-38.851002,-1.000000,-76.702004,75.702004,20,60,2
