Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
-33.563501,-32.984001,-34.143002,1.159000,7,50,4
-33.963001,-33.393002,-34.533001,1.139999,7,51,4
-35.495001,-34.873001,-36.117001,1.243999,8,50,4
-36.614500,-36.005001,-37.223999,1.218998,8,51,4
-36.033999,-35.474998,-36.592999,1.118000,7,52,4
-37.852001,-37.248001,-38.456001,1.208000,8,52,4
-39.375999,-38.834000,-39.917999,1.084000,7,53,4
-40.879000,-40.287998,-41.470001,1.182003,8,53,4
-43.064501,-42.534000,-43.595001,1.061001,7,54,4
-46.345001,-45.782001,-46.908001,1.125999,8,54,4
-50.195501,-49.686001,-50.705002,1.019001,7,55,4
-50.978500,-50.435001,-51.521999,1.086998,8,55,4
-54.384501,-53.882999,-54.886002,1.003002,7,56,4
-56.470001,-55.950001,-56.990002,1.040001,8,56,4
-55.408001,-54.908001,-55.908001,1.000000,7,57,4
-58.859501,-58.354000,-59.365002,1.011002,8,57,4
-56.244999,-55.744999,-56.744999,1.000000,7,58,4
-59.707001,-59.207001,-60.207001,1.000000,8,58,4
-55.661999,-55.161999,-56.161999,1.000000,7,59,4
-59.217999,-58.717999,-59.717999,1.000000,8,59,4
-56.238998,-55.738998,-56.738998,1.000000,7,60,4
-59.701000,-59.201000,-60.201000,1.000000,8,60,4
-37.993000,-37.327000,-38.659000,1.332001,9,50,4
-37.957501,-37.296001,-38.619000,1.322998,9,51,4
-40.938501,-40.296001,-41.581001,1.285000,9,52,4
-43.323999,-42.688999,-43.959000,1.270000,9,53,4
-47.990499,-47.376999,-48.604000,1.227001,9,54,4
-52.529501,-51.937000,-53.122002,1.185001,9,55,4
-55.477999,-54.903999,-56.051998,1.147999,9,56,4
-59.363501,-58.824001,-59.903000,1.078999,9,57,4
-62.011000,-61.505001,-62.516998,1.011997,9,58,4
-62.869999,-62.369999,-63.369999,1.000000,9,59,4
-63.162998,-62.662998,-63.662998,1.000000,9,60,4
-40.587000,-39.868000,-41.306000,1.438000,10,50,4
-39.880499,-39.167999,-40.592999,1.424999,10,51,4
-41.465000,-40.764000,-42.166000,1.402000,10,52,4
-44.371500,-43.676998,-45.066002,1.389004,10,53,4
-48.239000,-47.563000,-48.915001,1.352001,10,54,4
-51.657999,-51.001999,-52.313999,1.312000,10,55,4
-57.053501,-56.450001,-57.657001,1.207001,10,56,4
-62.375500,-61.828999,-62.922001,1.093002,10,57,4
-65.763001,-65.254997,-66.271004,1.016006,10,58,4
-65.917000,-65.417000,-66.417000,1.000000,10,59,4
-65.235001,-64.735001,-65.735001,1.000000,10,60,4
-42.144999,-41.362999,-42.926998,1.563999,11,50,4
-39.943499,-39.161999,-40.724998,1.563000,11,51,4
-39.373001,-38.580002,-40.166000,1.585999,11,52,4
-41.476500,-40.688000,-42.264999,1.577000,11,53,4
-46.038000,-45.283001,-46.792999,1.509998,11,54,4
-54.582001,-53.914001,-55.250000,1.335999,11,55,4
-62.120501,-61.533001,-62.708000,1.174999,11,56,4
-66.449497,-65.907997,-66.990997,1.083000,11,57,4
-69.831001,-69.329002,-70.333000,1.003998,11,58,4
-69.266998,-68.766998,-69.766998,1.000000,11,59,4
-69.764000,-69.264000,-70.264000,1.000000,11,60,4
-41.964500,-41.108002,-42.820999,1.712997,12,50,4
-40.991501,-40.152000,-41.831001,1.679001,12,51,4
-40.239000,-39.397999,-41.080002,1.682003,12,52,4
-43.274000,-42.452999,-44.095001,1.642002,12,53,4
-51.639999,-50.898998,-52.381000,1.482002,12,54,4
-59.240000,-58.581001,-59.898998,1.317997,12,55,4
-66.890499,-66.318001,-67.462997,1.144997,12,56,4
-71.293499,-70.775002,-71.811997,1.036995,12,57,4
-73.543999,-73.043999,-74.043999,1.000000,12,58,4
-72.875000,-72.375000,-73.375000,1.000000,12,59,4
-73.559998,-73.059998,-74.059998,1.000000,12,60,4
-41.356499,-40.425999,-42.286999,1.861000,13,50,4
-42.908001,-42.019001,-43.797001,1.778000,13,51,4
-45.809500,-44.960999,-46.658001,1.697002,13,52,4
-49.451000,-48.637001,-50.264999,1.627998,13,53,4
-59.453999,-58.745998,-60.161999,1.416000,13,54,4
-69.897999,-69.306999,-70.488998,1.181999,13,55,4
-74.825001,-74.293999,-75.356003,1.062004,13,56,4
-76.225998,-75.723000,-76.728996,1.005997,13,57,4
-76.570999,-76.070999,-77.070999,1.000000,13,58,4
-76.139000,-75.639000,-76.639000,1.000000,13,59,4
-76.597000,-76.097000,-77.097000,1.000000,13,60,4
-43.230001,-42.261002,-44.199001,1.938000,14,50,4
