FeatureID,X,Y,Elevation
0,292182.1341,9105647.632,-32.984001
1,292278.2603,9105620.068,-33.393002
2,292374.3864,9105592.505,-34.873001
3,292470.5126,9105564.941,-36.005001
4,292566.6388,9105537.377,-35.474998
5,292662.7649,9105509.814,-37.248001
6,292758.8911,9105482.25,-38.834
7,292855.0173,9105454.686,-40.287998
8,292951.1434,9105427.122,-42.534
9,293047.2696,9105399.559,-45.782001
10,293143.3958,9105371.995,-49.686001
11,292154.5703,9105551.506,-50.435001
12,292250.6965,9105523.942,-53.882999
13,292346.8227,9105496.379,-55.950001
14,292442.9489,9105468.815,-54.908001
15,292539.075,9105441.251,-58.354
16,292635.2012,9105413.687,-55.744999
17,292731.3274,9105386.124,-59.207001
18,292827.4535,9105358.56,-55.161999
19,292923.5797,9105330.996,-58.717999
20,293019.7059,9105303.432,-55.738998
21,293115.832,9105275.869,-59.201
22,292127.0066,9105455.38,-37.327
23,292223.1328,9105427.816,-37.296001
24,292319.259,9105400.252,-40.296001
25,292415.3851,9105372.689,-42.688999
26,292511.5113,9105345.125,-47.376999
27,292607.6375,9105317.561,-51.937
28,292703.7636,9105289.997,-54.903999
29,292799.8898,9105262.434,-58.824001
30,292896.016,9105234.87,-61.505001
31,292992.1421,9105207.306,-62.369999
32,293088.2683,9105179.743,-62.662998
33,292099.4429,9105359.254,-39.868
34,292195.569,9105331.69,-39.167999
35,292291.6952,9105304.126,-40.764
36,292387.8214,9105276.562,-43.676998
37,292483.9476,9105248.999,-47.563
38,292580.0737,9105221.435,-51.001999
39,292676.1999,9105193.871,-56.450001
40,292772.3261,9105166.308,-61.828999
41,292868.4522,9105138.744,-65.254997
42,292964.5784,9105111.18,-65.417
43,293060.7046,9105083.616,-64.735001
44,292071.8791,9105263.128,-41.362999
45,292168.0053,9105235.564,-39.161999
46,292264.1315,9105208,-38.580002
47,292360.2577,9105180.436,-40.688
48,292456.3838,9105152.873,-45.283001
49,292552.51,9105125.309,-53.914001
50,292648.6362,9105097.745,-61.533001
51,292744.7623,9105070.181,-65.907997
52,292840.8885,9105042.618,-69.329002
53,292937.0147,9105015.054,-68.766998
54,293033.1408,9104987.49,-69.264
55,292044.3154,9105167.001,-41.108002
56,292140.4416,9105139.438,-40.152
57,292236.5677,9105111.874,-39.397999
58,292344.121,9105063.695,-42.452999
59,292428.8201,9105056.746,-50.898998
60,292524.9463,9105029.183,-58.581001
61,292621.0724,9105001.619,-66.318001
62,292717.1986,9104974.055,-70.775002
63,292813.3248,9104946.491,-73.043999
64,292909.4509,9104918.928,-72.375
65,293005.5771,9104891.364,-73.059998
66,292016.7517,9105070.875,-40.425999
67,292112.8778,9105043.311,-42.019001
68,292209.004,9105015.748,-44.960999
69,292305.1302,9104988.184,-48.637001
70,292401.2564,9104960.62,-58.745998
71,292497.3825,9104933.057,-69.306999
72,292593.5087,9104905.493,-74.293999
