FeatureID,X,Y,Elevation
0,292182.1341,9105647.632,-34.143002
1,292278.2603,9105620.068,-34.533001
2,292374.3864,9105592.505,-36.117001
3,292470.5126,9105564.941,-37.223999
4,292566.6388,9105537.377,-36.592999
5,292662.7649,9105509.814,-38.456001
6,292758.8911,9105482.25,-39.917999
7,292855.0173,9105454.686,-41.470001
8,292951.1434,9105427.122,-43.595001
9,293047.2696,9105399.559,-46.908001
10,293143.3958,9105371.995,-50.705002
11,292154.5703,9105551.506,-51.521999
12,292250.6965,9105523.942,-54.886002
13,292346.8227,9105496.379,-56.990002
14,292442.9489,9105468.815,-55.908001
15,292539.075,9105441.251,-59.365002
16,292635.2012,9105413.687,-56.744999
17,292731.3274,9105386.124,-60.207001
18,292827.4535,9105358.56,-56.161999
19,292923.5797,9105330.996,-59.717999
20,293019.7059,9105303.432,-56.738998
21,293115.832,9105275.869,-60.201
22,292127.0066,9105455.38,-38.659
23,292223.1328,9105427.816,-38.619
24,292319.259,9105400.252,-41.581001
25,292415.3851,9105372.689,-43.959
26,292511.5113,9105345.125,-48.604
27,292607.6375,9105317.561,-53.122002
28,292703.7636,9105289.997,-56.051998
29,292799.8898,9105262.434,-59.903
30,292896.016,9105234.87,-62.516998
31,292992.1421,9105207.306,-63.369999
32,293088.2683,9105179.743,-63.662998
33,292099.4429,9105359.254,-41.306
34,292195.569,9105331.69,-40.592999
35,292291.6952,9105304.126,-42.166
36,292387.8214,9105276.562,-45.066002
37,292483.9476,9105248.999,-48.915001
38,292580.0737,9105221.435,-52.313999
39,292676.1999,9105193.871,-57.657001
40,292772.3261,9105166.308,-62.922001
41,292868.4522,9105138.744,-66.271004
42,292964.5784,9105111.18,-66.417
43,293060.7046,9105083.616,-65.735001
44,292071.8791,9105263.128,-42.926998
45,292168.0053,9105235.564,-40.724998
46,292264.1315,9105208,-40.166
47,292360.2577,9105180.436,-42.264999
48,292456.3838,9105152.873,-46.792999
49,292552.51,9105125.309,-55.25
50,292648.6362,9105097.745,-62.708
51,292744.7623,9105070.181,-66.990997
52,292840.8885,9105042.618,-70.333
53,292937.0147,9105015.054,-69.766998
54,293033.1408,9104987.49,-70.264
55,292044.3154,9105167.001,-42.820999
56,292140.4416,9105139.438,-41.831001
57,292236.5677,9105111.874,-41.080002
58,292344.121,9105063.695,-44.095001
59,292428.8201,9105056.746,-52.381
60,292524.9463,9105029.183,-59.898998
61,292621.0724,9105001.619,-67.462997
62,292717.1986,9104974.055,-71.811997
63,292813.3248,9104946.491,-74.043999
64,292909.4509,9104918.928,-73.375
65,293005.5771,9104891.364,-74.059998
66,292016.7517,9105070.875,-42.286999
67,292112.8778,9105043.311,-43.797001
68,292209.004,9105015.748,-46.658001
69,292305.1302,9104988.184,-50.264999
70,292401.2564,9104960.62,-60.161999
71,292497.3825,9104933.057,-70.488998
72,292593.5087,9104905.493,-75.356003
73,292689.6349,9104877.929,-76.728996
74,292785.761,9104850.365,-77.070999
75,292881.8872,9104822.802,-76.639
76,292978.0134,9104795.238,-77.097
77,291989.1879,9104974.749,-44.199001
78,292085.3141,9104947.185,-43.821999
79,292181.4403,9104919.622,-50.893002
80,292277.5664,9104892.058,-58.306
81,292373.6926,9104864.494,-68.473999
82,292469.8188,9104836.93,-74.054001
83,292565.945,9104809.367,-77.650002
84,292662.0711,9104781.803,-77.661003
85,292758.1973,9104754.239,-77.678001
86,292854.3235,9104726.675,-77.653
87,292950.4496,9104699.112,-77.677002
88,291961.6242,9104878.623,-43.136002
89,292057.7504,9104851.059,-45.891998
90,292153.8765,9104823.495,-54.368
91,292250.0027,9104795.932,-61.986
92,292346.1289,9104768.368,-68.415001
93,292442.255,9104740.804,-74.916
94,292538.3812,9104713.24,-77.361999
95,292634.5074,9104685.677,-77.835999
96,292730.6336,9104658.113,-77.848
97,292826.7597,9104630.549,-77.825996
98,292922.8859,9104602.985,-77.848
99,291934.0605,9104782.497,-41.869999
100,292030.1866,9104754.933,-46.728001
101,292126.3128,9104727.369,-53.272999
102,292222.439,9104699.805,-62.736
103,292318.5651,9104672.242,-69.870003
104,292414.6913,9104644.678,-74.444
105,292510.8175,9104617.114,-77.069
106,292606.9437,9104589.551,-77.859001
107,292703.0698,9104561.987,-78.014999
108,292799.196,9104534.423,-77.986
109,292895.3222,9104506.859,-78.018997
110,291906.4967,9104686.371,-42.706001
111,292002.6229,9104658.807,-43.669998
112,292098.7491,9104631.243,-53.417999
113,292194.8752,9104603.679,-60.172001
114,292291.0014,9104576.116,-68.749
115,292387.1276,9104548.552,-73.560997
116,292483.2537,9104520.988,-75.700996
117,292579.3799,9104493.424,-77.689003
118,292675.5061,9104465.861,-78.130997
119,292771.6323,9104438.297,-78.146004
120,292867.7584,9104410.733,-78.141998
121,291878.933,9104590.244,-42.539001
122,291975.0592,9104562.681,-41.887001
123,292071.1853,9104535.117,-48.807999
124,292167.3115,9104507.553,-58.569
125,292263.4377,9104479.989,-65.686997
126,292359.5638,9104452.426,-71.042
127,292455.69,9104424.862,-74.941002
128,292551.8162,9104397.298,-77.084
129,292647.9424,9104369.734,-78.023003
130,292744.0685,9104342.171,-78.324997
131,292840.1947,9104314.607,-78.348
132,291851.3693,9104494.118,-41.775002
133,291947.4954,9104466.554,-42.439999
134,292043.6216,9104438.991,-45.231998
135,292139.7478,9104411.427,-51.966
136,292235.8739,9104383.863,-60.640999
137,292332.0001,9104356.299,-69.802002
138,292428.1263,9104328.736,-74.374
139,292524.2524,9104301.172,-77.744003
140,292620.3786,9104273.608,-78.529999
141,292716.5048,9104246.045,-78.495003
142,292812.631,9104218.481,-78.527
143,291823.8055,9104397.992,-42.183998
144,291919.9317,9104370.428,-41.807999
145,292016.0579,9104342.865,-44.689999
146,292112.184,9104315.301,-49.119999
147,292208.3102,9104287.737,-56.581001
