Z,TOP,BOTTOM,TICKNES,ROW,COLUMN,LAYER
-29.676500,-26.369000,-32.984001,6.615002,7,50,3
-30.017001,-26.641001,-33.393002,6.752001,7,51,3
-31.123501,-27.374001,-34.873001,7.499001,8,50,3
-32.337501,-28.670000,-36.005001,7.335001,8,51,3
-32.221999,-28.969000,-35.474998,6.505999,7,52,3
-33.600000,-29.952000,-37.248001,7.296001,8,52,3
-35.839500,-32.845001,-38.834000,5.988998,7,53,3
-36.879999,-33.472000,-40.287998,6.815998,8,53,3
-39.800001,-37.066002,-42.534000,5.467999,7,54,3
-42.901501,-40.021000,-45.782001,5.761002,8,54,3
-47.482000,-45.278000,-49.686001,4.408001,7,55,3
-47.962000,-45.488998,-50.435001,4.946003,8,55,3
-51.948000,-50.013000,-53.882999,3.869999,7,56,3
-53.973000,-51.995998,-55.950001,3.954002,8,56,3
-53.019501,-51.131000,-54.908001,3.777000,7,57,3
-56.645001,-54.936001,-58.354000,3.417999,8,57,3
-53.901998,-52.058998,-55.744999,3.686001,7,58,3
-57.588001,-55.969002,-59.207001,3.237999,8,58,3
-53.281500,-51.401001,-55.161999,3.760998,7,59,3
-57.066999,-55.416000,-58.717999,3.301998,8,59,3
-53.895498,-52.051998,-55.738998,3.687000,7,60,3
-57.581501,-55.962002,-59.201000,3.238998,8,60,3
-33.096000,-28.865000,-37.327000,8.462000,9,50,3
-33.130001,-28.964001,-37.296001,8.332001,9,51,3
-36.417000,-32.537998,-40.296001,7.758003,9,52,3
-38.961500,-35.234001,-42.688999,7.454998,9,53,3
-44.091499,-40.806000,-47.376999,6.570999,9,54,3
-49.146000,-46.354999,-51.937000,5.582001,9,55,3
-52.490999,-50.077999,-54.903999,4.826000,9,56,3
-56.932001,-55.040001,-58.824001,3.784000,9,57,3
-59.999500,-58.494000,-61.505001,3.011002,9,58,3
-60.955500,-59.541000,-62.369999,2.828999,9,59,3
-61.267500,-59.872002,-62.662998,2.790997,9,60,3
-35.378000,-30.888001,-39.868000,8.980000,10,50,3
-34.557500,-29.947001,-39.167999,9.220999,10,51,3
-36.306000,-31.848000,-40.764000,8.916000,10,52,3
-39.562500,-35.448002,-43.676998,8.228996,10,53,3
-43.972000,-40.381000,-47.563000,7.181999,10,54,3
-47.862000,-44.722000,-51.001999,6.279999,10,55,3
-54.018501,-51.587002,-56.450001,4.862999,10,56,3
-60.104999,-58.381000,-61.828999,3.447998,10,57,3
-63.980999,-62.707001,-65.254997,2.547997,10,58,3
-64.200001,-62.983002,-65.417000,2.433998,10,59,3
-63.473501,-62.212002,-64.735001,2.522999,10,60,3
-37.048000,-32.733002,-41.362999,8.629997,11,50,3
-34.417000,-29.672001,-39.161999,9.489998,11,51,3
-33.657001,-28.733999,-38.580002,9.846003,11,52,3
-35.978000,-31.268000,-40.688000,9.420000,11,53,3
-41.179501,-37.076000,-45.283001,8.207001,11,54,3
-50.951500,-47.988998,-53.914001,5.925003,11,55,3
-59.546000,-57.558998,-61.533001,3.974003,11,56,3
-64.477999,-63.048000,-65.907997,2.859997,11,57,3
-68.353500,-67.377998,-69.329002,1.951004,11,58,3
-67.766499,-66.765999,-68.766998,2.000999,11,59,3
-68.296001,-67.328003,-69.264000,1.935997,11,60,3
-37.172501,-33.237000,-41.108002,7.871002,12,50,3
-35.851501,-31.551001,-40.152000,8.601000,12,51,3
-34.749499,-30.101000,-39.397999,9.296999,12,52,3
-37.919500,-33.386002,-42.452999,9.066998,12,53,3
-47.327499,-43.756000,-50.898998,7.142998,12,54,3
-55.999500,-53.417999,-58.581001,5.163002,12,55,3
-64.731501,-63.145001,-66.318001,3.173000,12,56,3
-69.793499,-68.811997,-70.775002,1.963005,12,57,3
-72.319500,-71.595001,-73.043999,1.448997,12,58,3
-71.608501,-70.842003,-72.375000,1.532997,12,59,3
-72.337498,-71.614998,-73.059998,1.445000,12,60,3
-36.818499,-33.210999,-40.425999,7.215000,13,50,3
-38.308001,-34.597000,-42.019001,7.422001,13,51,3
-41.288000,-37.615002,-44.960999,7.345997,13,52,3
-45.126001,-41.615002,-48.637001,7.021999,13,53,3
-56.161499,-53.577000,-58.745998,5.168999,13,54,3
-67.933498,-66.559998,-69.306999,2.747002,13,55,3
-73.546501,-72.799004,-74.293999,1.494995,13,56,3
-75.172001,-74.621002,-75.723000,1.101997,13,57,3
-75.542000,-75.013001,-76.070999,1.057999,13,58,3
-75.082001,-74.525002,-75.639000,1.113998,13,59,3
-75.569000,-75.041000,-76.097000,1.056000,13,60,3
-39.125000,-35.988998,-42.261002,6.272003,14,50,3
-38.613501,-35.330002,-41.896999,6.566998,14,51,3
-46.295000,-43.445000,-49.145001,5.700001,14,52,3
-54.466499,-52.215000,-56.717999,4.502998,14,53,3
-65.797497,-64.476997,-67.117996,2.640999,14,54,3
-72.054001,-71.263001,-72.845001,1.582001,14,55,3
-76.094502,-75.593002,-76.596001,1.002998,14,56,3
-76.155998,-75.655998,-76.655998,1.000000,14,57,3
-76.178001,-75.678001,-76.678001,1.000000,14,58,3
-76.153000,-75.653000,-76.653000,1.000000,14,59,3
-76.177002,-75.677002,-76.677002,1.000000,14,60,3
-38.250000,-35.487999,-41.012001,5.524002,15,50,3
-41.161001,-38.455002,-43.867001,5.411999,15,51,3
-50.437000,-48.313000,-52.561001,4.248001,15,52,3
-58.806501,-57.254002,-60.359001,3.105000,15,53,3
-65.904499,-64.836998,-66.972000,2.135002,15,54,3
-73.073502,-72.458000,-73.689003,1.231003,15,55,3
-75.771000,-75.264999,-76.277000,1.012001,15,56,3
-76.324997,-75.824997,-76.824997,1.000000,15,57,3
-76.348000,-75.848000,-76.848000,1.000000,15,58,3
-76.325996,-75.825996,-76.825996,1.000000,15,59,3
-76.348000,-75.848000,-76.848000,1.000000,15,60,3
-37.084999,-34.599998,-39.570000,4.970001,16,50,3
-42.348499,-40.119000,-44.577999,4.459000,16,51,3
-49.469500,-47.632000,-51.306999,3.674999,16,52,3
-59.822001,-58.587002,-61.056999,2.469997,16,53,3
-67.654999,-66.917999,-68.391998,1.473999,16,54,3
-72.635502,-72.092003,-73.179001,1.086998,16,55,3
-75.465500,-74.954002,-75.976997,1.022995,16,56,3
-76.330002,-75.828003,-76.832001,1.003998,16,57,3
-76.509003,-76.009003,-77.009003,1.000000,16,58,3
-76.486000,-75.986000,-76.986000,1.000000,16,59,3
-76.518997,-76.018997,-77.018997,1.000000,16,60,3
-37.869000,-35.467999,-40.270001,4.802002,17,50,3
-39.142500,-36.994000,-41.291000,4.297001,17,51,3
-49.866999,-48.397999,-51.335999,2.938000,17,52,3
-57.240000,-56.183998,-58.296001,2.112003,17,53,3
-66.553001,-65.897003,-67.209000,1.311996,17,54,3
-71.723000,-71.167000,-72.278999,1.112000,17,55,3
-74.014999,-73.485001,-74.544998,1.059998,17,56,3
-76.148998,-75.642998,-76.654999,1.012001,17,57,3
-76.623501,-76.123001,-77.124000,1.000999,17,58,3
