FeatureID,X,Y,Elevation,KX,KY,KZ,INHD
0,292182.1341,9105647.632,-34.143002,0.3,0.3,0.003,8
1,292278.2603,9105620.068,-34.533001,0.3,0.3,0.003,8
2,292374.3864,9105592.505,-36.117001,0.3,0.3,0.003,8
3,292470.5126,9105564.941,-37.223999,0.3,0.3,0.003,7
4,292566.6388,9105537.377,-36.592999,0.3,0.3,0.003,8
5,292662.7649,9105509.814,-38.456001,0.3,0.3,0.003,7
6,292758.8911,9105482.25,-39.917999,0.3,0.3,0.003,7
7,292855.0173,9105454.686,-41.470001,0.3,0.3,0.003,7
8,292951.1434,9105427.122,-43.595001,0.3,0.3,0.003,7
9,293047.2696,9105399.559,-46.908001,0.3,0.3,0.003,7
10,293143.3958,9105371.995,-50.705002,0.3,0.3,0.003,5
11,292154.5703,9105551.506,-51.521999,0.3,0.3,0.003,6
12,292250.6965,9105523.942,-54.886002,0.3,0.3,0.003,3
13,292346.8227,9105496.379,-56.990002,0.3,0.3,0.003,3
14,292442.9489,9105468.815,-55.908001,0.3,0.3,0.003,1
15,292539.075,9105441.251,-59.365002,0.3,0.3,0.003,1
16,292635.2012,9105413.687,-56.744999,0.3,0.3,0.003,0
17,292731.3274,9105386.124,-60.207001,0.3,0.3,0.003,0
18,292827.4535,9105358.56,-56.161999,0.3,0.3,0.003,0
19,292923.5797,9105330.996,-59.717999,0.3,0.3,0.003,0
20,293019.7059,9105303.432,-56.738998,0.3,0.3,0.003,0
21,293115.832,9105275.869,-60.201,0.3,0.3,0.003,0
22,292127.0066,9105455.38,-38.659,0.3,0.3,0.003,8
23,292223.1328,9105427.816,-38.619,0.3,0.3,0.003,8
24,292319.259,9105400.252,-41.581001,0.3,0.3,0.003,8
25,292415.3851,9105372.689,-43.959,0.3,0.3,0.003,7
26,292511.5113,9105345.125,-48.604,0.3,0.3,0.003,6
27,292607.6375,9105317.561,-53.122002,0.3,0.3,0.003,5
28,292703.7636,9105289.997,-56.051998,0.3,0.3,0.003,4
29,292799.8898,9105262.434,-59.903,0.3,0.3,0.003,2
30,292896.016,9105234.87,-62.516998,0.3,0.3,0.003,0
31,292992.1421,9105207.306,-63.369999,0.3,0.3,0.003,0
32,293088.2683,9105179.743,-63.662998,0.3,0.3,0.003,0
33,292099.4429,9105359.254,-41.306,0.3,0.3,0.003,8
34,292195.569,9105331.69,-40.592999,0.3,0.3,0.003,8
35,292291.6952,9105304.126,-42.166,0.3,0.3,0.003,7
36,292387.8214,9105276.562,-45.066002,0.3,0.3,0.003,7
37,292483.9476,9105248.999,-48.915001,0.3,0.3,0.003,6
38,292580.0737,9105221.435,-52.313999,0.3,0.3,0.003,5
39,292676.1999,9105193.871,-57.657001,0.3,0.3,0.003,4
40,292772.3261,9105166.308,-62.922001,0.3,0.3,0.003,2
41,292868.4522,9105138.744,-66.271004,0.3,0.3,0.003,0
42,292964.5784,9105111.18,-66.417,0.3,0.3,0.003,0
43,293060.7046,9105083.616,-65.735001,0.3,0.3,0.003,0
44,292071.8791,9105263.128,-42.926998,0.3,0.3,0.003,8
45,292168.0053,9105235.564,-40.724998,0.3,0.3,0.003,9
46,292264.1315,9105208,-40.166,0.3,0.3,0.003,9
47,292360.2577,9105180.436,-42.264999,0.3,0.3,0.003,9
48,292456.3838,9105152.873,-46.792999,0.3,0.3,0.003,9
49,292552.51,9105125.309,-55.25,0.3,0.3,0.003,6
50,292648.6362,9105097.745,-62.708,0.3,0.3,0.003,2
51,292744.7623,9105070.181,-66.990997,0.3,0.3,0.003,1
52,292840.8885,9105042.618,-70.333,0.3,0.3,0.003,0
53,292937.0147,9105015.054,-69.766998,0.3,0.3,0.003,0
54,293033.1408,9104987.49,-70.264,0.3,0.3,0.003,0
55,292044.3154,9105167.001,-42.820999,0.3,0.3,0.003,7
56,292140.4416,9105139.438,-41.831001,0.3,0.3,0.003,8
57,292236.5677,9105111.874,-41.080002,0.3,0.3,0.003,9
58,292344.121,9105063.695,-44.095001,0.3,0.3,0.003,9
59,292428.8201,9105056.746,-52.381,0.3,0.3,0.003,6
60,292524.9463,9105029.183,-59.898998,0.3,0.3,0.003,4
61,292621.0724,9105001.619,-67.462997,0.3,0.3,0.003,2
