FeatureID,X,Y,Elevation,KX,KY,KZ,INHD
0,292182.1341,9105647.632,-26.369,15,15,1.5,8
1,292278.2603,9105620.068,-26.641001,15,15,1.5,8
2,292374.3864,9105592.505,-27.374001,0.1,0.1,0.01,8
3,292470.5126,9105564.941,-28.67,0.1,0.1,0.01,7
4,292566.6388,9105537.377,-28.969,0.1,0.1,0.01,8
5,292662.7649,9105509.814,-29.952,0.1,0.1,0.01,7
6,292758.8911,9105482.25,-32.845001,0.1,0.1,0.01,7
7,292855.0173,9105454.686,-33.472,0.1,0.1,0.01,7
8,292951.1434,9105427.122,-37.066002,0.1,0.1,0.01,7
9,293047.2696,9105399.559,-40.021,0.1,0.1,0.01,7
10,293143.3958,9105371.995,-45.278,0.1,0.1,0.01,5
11,292154.5703,9105551.506,-45.488998,0.1,0.1,0.01,6
12,292250.6965,9105523.942,-50.013,0.1,0.1,0.01,3
13,292346.8227,9105496.379,-51.995998,0.1,0.1,0.01,3
14,292442.9489,9105468.815,-51.131,0.1,0.1,0.01,1
15,292539.075,9105441.251,-54.936001,0.1,0.1,0.01,1
16,292635.2012,9105413.687,-52.058998,0.1,0.1,0.01,0
17,292731.3274,9105386.124,-55.969002,0.1,0.1,0.01,0
18,292827.4535,9105358.56,-51.401001,0.1,0.1,0.01,0
19,292923.5797,9105330.996,-55.416,0.1,0.1,0.01,0
20,293019.7059,9105303.432,-52.051998,0.1,0.1,0.01,0
21,293115.832,9105275.869,-55.962002,0.1,0.1,0.01,0
22,292127.0066,9105455.38,-28.865,0.1,0.1,0.01,8
23,292223.1328,9105427.816,-28.964001,0.1,0.1,0.01,8
24,292319.259,9105400.252,-32.537998,0.1,0.1,0.01,8
25,292415.3851,9105372.689,-35.234001,0.1,0.1,0.01,7
26,292511.5113,9105345.125,-40.806,0.1,0.1,0.01,6
27,292607.6375,9105317.561,-46.354999,0.1,0.1,0.01,5
28,292703.7636,9105289.997,-50.077999,0.1,0.1,0.01,4
29,292799.8898,9105262.434,-55.040001,0.1,0.1,0.01,2
30,292896.016,9105234.87,-58.494,0.1,0.1,0.01,0
31,292992.1421,9105207.306,-59.541,0.1,0.1,0.01,0
32,293088.2683,9105179.743,-59.872002,0.1,0.1,0.01,0
33,292099.4429,9105359.254,-30.888001,0.1,0.1,0.01,8
34,292195.569,9105331.69,-29.947001,0.1,0.1,0.01,8
35,292291.6952,9105304.126,-31.848,0.1,0.1,0.01,7
36,292387.8214,9105276.562,-35.448002,0.1,0.1,0.01,7
37,292483.9476,9105248.999,-40.381,0.1,0.1,0.01,6
38,292580.0737,9105221.435,-44.722,0.1,0.1,0.01,5
39,292676.1999,9105193.871,-51.587002,0.1,0.1,0.01,4
40,292772.3261,9105166.308,-58.381,0.1,0.1,0.01,2
41,292868.4522,9105138.744,-62.707001,0.1,0.1,0.01,0
42,292964.5784,9105111.18,-62.983002,0.1,0.1,0.01,0
43,293060.7046,9105083.616,-62.212002,0.1,0.1,0.01,0
44,292071.8791,9105263.128,-32.733002,0.1,0.1,0.01,8
45,292168.0053,9105235.564,-29.672001,0.1,0.1,0.01,9
46,292264.1315,9105208,-28.733999,0.1,0.1,0.01,9
47,292360.2577,9105180.436,-31.268,0.1,0.1,0.01,9
48,292456.3838,9105152.873,-37.076,0.1,0.1,0.01,9
49,292552.51,9105125.309,-47.988998,0.1,0.1,0.01,6
50,292648.6362,9105097.745,-57.558998,0.1,0.1,0.01,2
51,292744.7623,9105070.181,-63.048,0.1,0.1,0.01,1
52,292840.8885,9105042.618,-67.377998,0.1,0.1,0.01,0
53,292937.0147,9105015.054,-66.765999,0.1,0.1,0.01,0
54,293033.1408,9104987.49,-67.328003,0.1,0.1,0.01,0
55,292044.3154,9105167.001,-33.237,0.1,0.1,0.01,7
56,292140.4416,9105139.438,-31.551001,0.1,0.1,0.01,8
57,292236.5677,9105111.874,-30.101,0.1,0.1,0.01,9
58,292344.121,9105063.695,-33.386002,0.1,0.1,0.01,9
59,292428.8201,9105056.746,-43.756,0.1,0.1,0.01,6
60,292524.9463,9105029.183,-53.417999,0.1,0.1,0.01,4
61,292621.0724,9105001.619,-63.145001,0.1,0.1,0.01,2
62,292717.1986,9104974.055,-68.811997,0.1,0.1,0.01,0
63,292813.3248,9104946.491,-71.595001,0.1,0.1,0.01,0
64,292909.4509,9104918.928,-70.842003,0.1,0.1,0.01,0
65,293005.5771,9104891.364,-71.614998,0.1,0.1,0.01,0
66,292016.7517,9105070.875,-33.210999,0.1,0.1,0.01,8
