FeatureID,X,Y,Elevation,KX,KY,KZ,INHD
0,292182.1341,9105647.632,-32.984001,0.3,0.3,0.003,8
1,292278.2603,9105620.068,-33.393002,0.3,0.3,0.003,8
2,292374.3864,9105592.505,-34.873001,0.3,0.3,0.003,8
3,292470.5126,9105564.941,-36.005001,0.3,0.3,0.003,7
4,292566.6388,9105537.377,-35.474998,0.3,0.3,0.003,8
5,292662.7649,9105509.814,-37.248001,0.3,0.3,0.003,7
6,292758.8911,9105482.25,-38.834,0.3,0.3,0.003,7
7,292855.0173,9105454.686,-40.287998,0.3,0.3,0.003,7
8,292951.1434,9105427.122,-42.534,0.3,0.3,0.003,7
9,293047.2696,9105399.559,-45.782001,0.3,0.3,0.003,7
10,293143.3958,9105371.995,-49.686001,0.3,0.3,0.003,5
11,292154.5703,9105551.506,-50.435001,0.3,0.3,0.003,6
12,292250.6965,9105523.942,-53.882999,0.3,0.3,0.003,3
13,292346.8227,9105496.379,-55.950001,0.3,0.3,0.003,3
14,292442.9489,9105468.815,-54.908001,0.3,0.3,0.003,1
15,292539.075,9105441.251,-58.354,0.3,0.3,0.003,1
16,292635.2012,9105413.687,-55.744999,0.3,0.3,0.003,0
17,292731.3274,9105386.124,-59.207001,0.3,0.3,0.003,0
18,292827.4535,9105358.56,-55.161999,0.3,0.3,0.003,0
19,292923.5797,9105330.996,-58.717999,0.3,0.3,0.003,0
20,293019.7059,9105303.432,-55.738998,0.3,0.3,0.003,0
21,293115.832,9105275.869,-59.201,0.3,0.3,0.003,0
22,292127.0066,9105455.38,-37.327,0.3,0.3,0.003,8
23,292223.1328,9105427.816,-37.296001,0.3,0.3,0.003,8
24,292319.259,9105400.252,-40.296001,0.3,0.3,0.003,8
25,292415.3851,9105372.689,-42.688999,0.3,0.3,0.003,7
26,292511.5113,9105345.125,-47.376999,0.3,0.3,0.003,6
27,292607.6375,9105317.561,-51.937,0.3,0.3,0.003,5
28,292703.7636,9105289.997,-54.903999,0.3,0.3,0.003,4
29,292799.8898,9105262.434,-58.824001,0.3,0.3,0.003,2
30,292896.016,9105234.87,-61.505001,0.3,0.3,0.003,0
31,292992.1421,9105207.306,-62.369999,0.3,0.3,0.003,0
32,293088.2683,9105179.743,-62.662998,0.3,0.3,0.003,0
33,292099.4429,9105359.254,-39.868,0.3,0.3,0.003,8
34,292195.569,9105331.69,-39.167999,0.3,0.3,0.003,8
35,292291.6952,9105304.126,-40.764,0.3,0.3,0.003,7
36,292387.8214,9105276.562,-43.676998,0.3,0.3,0.003,7
37,292483.9476,9105248.999,-47.563,0.3,0.3,0.003,6
38,292580.0737,9105221.435,-51.001999,0.3,0.3,0.003,5
39,292676.1999,9105193.871,-56.450001,0.3,0.3,0.003,4
40,292772.3261,9105166.308,-61.828999,0.3,0.3,0.003,2
41,292868.4522,9105138.744,-65.254997,0.3,0.3,0.003,0
42,292964.5784,9105111.18,-65.417,0.3,0.3,0.003,0
43,293060.7046,9105083.616,-64.735001,0.3,0.3,0.003,0
44,292071.8791,9105263.128,-41.362999,0.3,0.3,0.003,8
45,292168.0053,9105235.564,-39.161999,0.3,0.3,0.003,9
46,292264.1315,9105208,-38.580002,0.3,0.3,0.003,9
47,292360.2577,9105180.436,-40.688,0.3,0.3,0.003,9
48,292456.3838,9105152.873,-45.283001,0.3,0.3,0.003,9
49,292552.51,9105125.309,-53.914001,0.3,0.3,0.003,6
50,292648.6362,9105097.745,-61.533001,0.3,0.3,0.003,2
51,292744.7623,9105070.181,-65.907997,0.3,0.3,0.003,1
52,292840.8885,9105042.618,-69.329002,0.3,0.3,0.003,0
53,292937.0147,9105015.054,-68.766998,0.3,0.3,0.003,0
54,293033.1408,9104987.49,-69.264,0.3,0.3,0.003,0
55,292044.3154,9105167.001,-41.108002,0.3,0.3,0.003,7
56,292140.4416,9105139.438,-40.152,0.3,0.3,0.003,8
57,292236.5677,9105111.874,-39.397999,0.3,0.3,0.003,9
58,292344.121,9105063.695,-42.452999,0.3,0.3,0.003,9
59,292428.8201,9105056.746,-50.898998,0.3,0.3,0.003,6
60,292524.9463,9105029.183,-58.581001,0.3,0.3,0.003,4
61,292621.0724,9105001.619,-66.318001,0.3,0.3,0.003,2
62,292717.1986,9104974.055,-70.775002,0.3,0.3,0.003,0
63,292813.3248,9104946.491,-73.043999,0.3,0.3,0.003,0
64,292909.4509,9104918.928,-72.375,0.3,0.3,0.003,0
65,293005.5771,9104891.364,-73.059998,0.3,0.3,0.003,0
66,292016.7517,9105070.875,-40.425999,0.3,0.3,0.003,8
67,292112.8778,9105043.311,-42.019001,0.3,0.3,0.003,8
68,292209.004,9105015.748,-44.960999,0.3,0.3,0.003,9
69,292305.1302,9104988.184,-48.637001,0.3,0.3,0.003,10
70,292401.2564,9104960.62,-58.745998,0.3,0.3,0.003,8
71,292497.3825,9104933.057,-69.306999,0.3,0.3,0.003,5
72,292593.5087,9104905.493,-74.293999,0.3,0.3,0.003,3
73,292689.6349,9104877.929,-75.723,0.3,0.3,0.003,0
74,292785.761,9104850.365,-76.070999,0.3,0.3,0.003,0
75,292881.8872,9104822.802,-75.639,0.3,0.3,0.003,0
76,292978.0134,9104795.238,-76.097,0.3,0.3,0.003,0
77,291989.1879,9104974.749,-42.261002,0.3,0.3,0.003,8
78,292085.3141,9104947.185,-41.896999,0.3,0.3,0.003,8
79,292181.4403,9104919.622,-49.145001,0.3,0.3,0.003,10
80,292277.5664,9104892.058,-56.717999,0.3,0.3,0.003,11
81,292373.6926,9104864.494,-67.117996,0.3,0.3,0.003,11
82,292469.8188,9104836.93,-72.845001,0.3,0.3,0.003,9
83,292565.945,9104809.367,-76.596001,0.3,0.3,0.003,4
84,292662.0711,9104781.803,-76.655998,0.3,0.3,0.003,0
85,292758.1973,9104754.239,-76.678001,0.3,0.3,0.003,0
86,292854.3235,9104726.675,-76.653,0.3,0.3,0.003,0
87,292950.4496,9104699.112,-76.677002,0.3,0.3,0.003,0
88,291961.6242,9104878.623,-41.012001,0.3,0.3,0.003,8
89,292057.7504,9104851.059,-43.867001,0.3,0.3,0.003,9
90,292153.8765,9104823.495,-52.561001,0.3,0.3,0.003,10
91,292250.0027,9104795.932,-60.359001,0.3,0.3,0.003,10
92,292346.1289,9104768.368,-66.972,0.3,0.3,0.003,8
93,292442.255,9104740.804,-73.689003,0.3,0.3,0.003,6
94,292538.3812,9104713.24,-76.277,0.3,0.3,0.003,3
95,292634.5074,9104685.677,-76.824997,0.3,0.3,0.003,0
96,292730.6336,9104658.113,-76.848,0.3,0.3,0.003,0
97,292826.7597,9104630.549,-76.825996,0.3,0.3,0.003,0
98,292922.8859,9104602.985,-76.848,0.3,0.3,0.003,0
99,291934.0605,9104782.497,-39.57,0.3,0.3,0.003,8
100,292030.1866,9104754.933,-44.577999,0.3,0.3,0.003,9
101,292126.3128,9104727.369,-51.306999,0.3,0.3,0.003,9
102,292222.439,9104699.805,-61.056999,0.3,0.3,0.003,8
103,292318.5651,9104672.242,-68.391998,0.3,0.3,0.003,7
104,292414.6913,9104644.678,-73.179001,0.3,0.3,0.003,4
105,292510.8175,9104617.114,-75.976997,0.3,0.3,0.003,2
106,292606.9437,9104589.551,-76.832001,0.3,0.3,0.003,0
107,292703.0698,9104561.987,-77.009003,0.3,0.3,0.003,0
108,292799.196,9104534.423,-76.986,0.3,0.3,0.003,0
109,292895.3222,9104506.859,-77.018997,0.3,0.3,0.003,0
110,291906.4967,9104686.371,-40.270001,0.3,0.3,0.003,8
111,292002.6229,9104658.807,-41.291,0.3,0.3,0.003,9
112,292098.7491,9104631.243,-51.335999,0.3,0.3,0.003,9
113,292194.8752,9104603.679,-58.296001,0.3,0.3,0.003,10
114,292291.0014,9104576.116,-67.209,0.3,0.3,0.003,7
115,292387.1276,9104548.552,-72.278999,0.3,0.3,0.003,4
116,292483.2537,9104520.988,-74.544998,0.3,0.3,0.003,2
117,292579.3799,9104493.424,-76.654999,0.3,0.3,0.003,0
118,292675.5061,9104465.861,-77.124,0.3,0.3,0.003,0
119,292771.6323,9104438.297,-77.146004,0.3,0.3,0.003,0
120,292867.7584,9104410.733,-77.141998,0.3,0.3,0.003,0
121,291878.933,9104590.244,-39.971001,0.3,0.3,0.003,8
122,291975.0592,9104562.681,-39.326,0.3,0.3,0.003,8
123,292071.1853,9104535.117,-46.453999,0.3,0.3,0.003,8
124,292167.3115,9104507.553,-56.576,0.3,0.3,0.003,7
125,292263.4377,9104479.989,-64.001,0.3,0.3,0.003,5
126,292359.5638,9104452.426,-69.651001,0.3,0.3,0.003,3
127,292455.69,9104424.862,-73.763001,0.3,0.3,0.003,1
128,292551.8162,9104397.298,-76.018997,0.3,0.3,0.003,0
129,292647.9424,9104369.734,-77.005997,0.3,0.3,0.003,0
130,292744.0685,9104342.171,-77.324997,0.3,0.3,0.003,0
131,292840.1947,9104314.607,-77.348,0.3,0.3,0.003,0
132,291851.3693,9104494.118,-39.069,0.3,0.3,0.003,7
133,291947.4954,9104466.554,-39.763,0.3,0.3,0.003,8
134,292043.6216,9104438.991,-42.645001,0.3,0.3,0.003,8
135,292139.7478,9104411.427,-49.644001,0.3,0.3,0.003,9
136,292235.8739,9104383.863,-58.731998,0.3,0.3,0.003,7
137,292332.0001,9104356.299,-68.363998,0.3,0.3,0.003,3
138,292428.1263,9104328.736,-73.167,0.3,0.3,0.003,2
139,292524.2524,9104301.172,-76.706001,0.3,0.3,0.003,0
140,292620.3786,9104273.608,-77.529999,0.3,0.3,0.003,0
141,292716.5048,9104246.045,-77.495003,0.3,0.3,0.003,0
142,292812.631,9104218.481,-77.527,0.3,0.3,0.003,0
143,291823.8055,9104397.992,-39.394001,0.3,0.3,0.003,8
144,291919.9317,9104370.428,-38.988998,0.3,0.3,0.003,8
145,292016.0579,9104342.865,-42.002998,0.3,0.3,0.003,8
146,292112.184,9104315.301,-46.643002,0.3,0.3,0.003,8
147,292208.3102,9104287.737,-54.473999,0.3,0.3,0.003,7
148,292304.4364,9104260.173,-65.208,0.3,0.3,0.003,4
149,292400.5625,9104232.61,-74.303001,0.3,0.3,0.003,1
150,292496.6887,9104205.046,-76.932999,0.3,0.3,0.003,0
151,292592.8149,9104177.482,-77.702004,0.3,0.3,0.003,0
152,292688.941,9104149.918,-77.68,0.3,0.3,0.003,0
153,292785.0672,9104122.355,-77.702004,0.3,0.3,0.003,0
